table,set,B,n,metric,value
head_to_head,"DEV classical, band 101-1000",200,208,strict_better,93
head_to_head,"DEV classical, band 101-1000",200,208,tie,91
head_to_head,"DEV classical, band 101-1000",200,208,median_cost_ratio_r2g_over_strict,1.0
head_to_head,"sh (OOD, all 95)",100,95,r2g_better,43
head_to_head,"sh (OOD, all 95)",100,95,strict_better,45
head_to_head,"sh (OOD, all 95)",100,95,tie,7
head_to_head,"sh (OOD, all 95)",100,95,median_cost_ratio_r2g_over_strict,1.0
head_to_head,"sh (OOD, all 95)",200,95,r2g_better,18
head_to_head,"sh (OOD, all 95)",200,95,strict_better,38
head_to_head,"sh (OOD, all 95)",200,95,tie,39
head_to_head,"sh (OOD, all 95)",200,95,median_cost_ratio_r2g_over_strict,1.0
head_to_head,"bezier (OOD, all 80)",100,80,r2g_better,60
head_to_head,"bezier (OOD, all 80)",100,80,strict_better,0
head_to_head,"bezier (OOD, all 80)",100,80,tie,20
head_to_head,"bezier (OOD, all 80)",100,80,median_cost_ratio_r2g_over_strict,0.9416909620991254
head_to_head,"bezier (OOD, all 80)",200,80,r2g_better,19
head_to_head,"bezier (OOD, all 80)",200,80,strict_better,0
head_to_head,"bezier (OOD, all 80)",200,80,tie,61
head_to_head,"bezier (OOD, all 80)",200,80,median_cost_ratio_r2g_over_strict,1.0
credit_unbanded,pooled,100,1095,rho_leave_one_out.r2g_linear,0.102655
credit_unbanded,pooled,100,1095,rho_leave_one_out.strict_v1_linear,0.170344
credit_unbanded,pooled,100,1095,rho_leave_one_out.per_rule_rate,0.181789
credit_unbanded,pooled,100,1095,rho_leave_one_out.loose,NaN
credit_unbanded,pooled,100,1095,rho_leave_one_out.tight,NaN
credit_unbanded,pooled,100,1095,rho_leave_one_out.strict,0.389273
credit_unbanded,pooled,100,1095,rho_leave_one_out.strict_by_output_class,0.004593
credit_unbanded,pooled,100,1095,rho_multi_mask.r2g_linear,0.248762
credit_unbanded,pooled,100,1095,rho_multi_mask.strict_v1_linear,0.344455
credit_unbanded,pooled,100,1095,rho_multi_mask.per_rule_rate,0.267140
credit_unbanded,pooled,100,1095,rho_multi_mask.loose,NaN
credit_unbanded,pooled,100,1095,rho_multi_mask.tight,NaN
credit_unbanded,pooled,100,1095,rho_multi_mask.strict,0.725376
credit_unbanded,pooled,100,1095,rho_multi_mask.strict_by_output_class,0.056235
credit_unbanded,pooled,100,1095,confluence.n_leave_one_out_zero,1012
credit_unbanded,pooled,100,1095,confluence.n_zero_to_positive,77
credit_unbanded,pooled,100,1095,confluence.n_zero_to_negative,8
credit_unbanded,pooled,100,1095,confluence.share_of_zero_that_becomes_positive,0.076087
credit_unbanded,pooled,100,1095,confluence.n_multi_mask_skips_gt_1,435
credit_unbanded,pooled,100,1095,confluence.mean_multi_mask_skips,1.5717
