name,group,population,extent_w,extent_h,nodes_reachable,nodes_hashcons,splice_factor,tree_nodes,selects,compares,compares_feeding_selects,select_masks_shared,arm_true_med,arm_false_med,arm_excl_true_med,arm_excl_false_med,arm_excl_frac,gathers,buffers,uniforms,transcendentals,depth,ops,nodes_lowered,nodes_lowered_hc,input_dag_cost,input_tree_cost,input_sharing,tier_iters,class_cap,stop,iterations,applications,unions,classes,opt_ms,ext_nodes,ext_trip_tree_cost,ext_trip_dag_cost,ext_trip_sharing,ext_tree_cost,ext_dag_cost,ext_sharing,ext_selects,dag_cost_delta_pct,emit,bytes,spill_slots,hoisted,carried,frame_instr,row_instr,body_instr,frame_frac,row_frac,body_frac,frame_mem,row_mem,body_mem,body_remats,dyn_memory_ops,dyn_instructions,rule_hist,sched_len,sched_selects,guard_exclusive,guard_guarded,guard_exclusive_frac,guard_guarded_frac,guard_guarded_selects,guard_exclusive_selects,guard_select_frac,guard_lost_frac,classes_at_cap,quiesced,has_select,has_gather,has_transc,dup_gt_1,ext_shares,hoist_frac,class_per_hc_node,apps_per_hc_node,ext_shrink,lower_growth,sat_noop,sel_per_100,cmp_per_100,bytes_per_hc_node
bwd_default_d6:15,bwd_default,synthetic,64.0,64.0,66.0,45.0,1.467,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,22.0,Abs:6;Add:8;Atan2:2;Const:5;Mul:4;Neg:10;Pow:7;Recip:1;Var:2,66.0,45.0,1646.0,3219.0,1.956,100.0,5000.0,Quiesced,4.0,306.0,52.0,98.0,2.0,29.0,595.0,340.0,1.75,595.0,340.0,1.75,0.0,-79.34,retired_axis,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,commutative(Add):81;fma-fusion:51;even-negation(Abs):36;involution(Sub):29;commutative(Mul):27;power-sqrt:12;power-recip:12;reverse-associative(Add):11;associative(Add):10;factor:7;constant-fold:6;halving:5;distribute:4;power-combine:4;power-rsqrt:4;recip-sqrt:4;doubling:3,0,0,0,0,nan,nan,0,0,nan,nan,0.0,1.0,0.0,0.0,1.0,1.0,1.0,nan,2.1777777777777776,6.8,0.6444444444444445,1.0,0.0,0.0,0.0,nan
bwd_default_d6:16,bwd_default,synthetic,64.0,64.0,114.0,89.0,1.281,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,20.0,Abs:11;Add:21;Atan2:2;Const:8;Cos:1;Ln:2;Log10:1;Log2:2;Max:1;Mul:6;Neg:21;Pow:7;Sin:1;Tan:1;Var:4,114.0,89.0,2609.0,2612.0,1.001,100.0,5000.0,Quiesced,4.0,568.0,89.0,179.0,4.7,61.0,3883787.0,3883787.0,1.0,1979.0,1979.0,1.0,0.0,-24.15,retired_axis,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,commutative(Add):211;even-negation(Abs):59;commutative(Mul):48;involution(Sub):46;constant-fold:42;fma-fusion:38;reverse-associative(Add):33;associative(Add):30;reverse-associative(Mul):11;associative(Mul):10;power-recip:8;inverse-annihilation(Sub):7;commutative(Max):7;odd-negation(Sin):7;even-negation(Cos):7;power-sqrt:4,0,0,0,0,nan,nan,0,0,nan,nan,0.0,1.0,0.0,0.0,1.0,1.0,0.0,nan,2.0112359550561796,6.382022471910112,0.6853932584269663,1.0,0.0,0.0,0.0,nan
bwd_default_d6:17,bwd_default,synthetic,64.0,64.0,90.0,76.0,1.184,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,18.0,Abs:9;Add:10;Atan2:2;Const:9;Exp:3;Exp2:1;Ln:2;Log10:2;Log2:1;Mul:9;Neg:18;Pow:3;Rsqrt:1;Sin:3;Var:3,90.0,76.0,2083.0,2359.0,1.133,100.0,5000.0,Quiesced,4.0,551.0,85.0,158.0,3.5,48.0,4308969.0,3255849.0,1.323,1722.0,1458.0,1.181,0.0,-30.0,retired_axis,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,commutative(Mul):128;commutative(Add):99;involution(Sub):61;even-negation(Abs):60;fma-fusion:51;constant-fold:45;reverse-associative(Mul):33;associative(Mul):30;reverse-associative(Add):11;associative(Add):10;power-sqrt:8;factor:7;distribute:4;power-recip:4,0,0,0,0,nan,nan,0,0,nan,nan,0.0,1.0,0.0,0.0,1.0,1.0,1.0,nan,2.0789473684210527,7.25,0.631578947368421,1.0,0.0,0.0,0.0,nan
bwd_default_d6:18,bwd_default,synthetic,64.0,64.0,47.0,42.0,1.119,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,Abs:6;Add:5;Const:6;Ln:1;Max:1;Min:2;Mul:2;Neg:13;Pow:3;Var:3,47.0,42.0,812.0,812.0,1.0,50.0,2000.0,Quiesced,5.0,310.0,36.0,66.0,2.1,19.0,856232.0,856232.0,1.0,377.0,377.0,1.0,0.0,-53.57,retired_axis,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,constant-fold:70;even-negation(Abs):49;involution(Sub):47;commutative(Add):45;commutative(Min):22;reverse-associative(Min):18;associative(Min):17;fma-fusion:10;commutative(Mul):9;commutative(Max):9;power-sqrt:5;power-recip:5;idempotent(Min):4,0,0,0,0,nan,nan,0,0,nan,nan,0.0,1.0,0.0,0.0,1.0,1.0,0.0,nan,1.5714285714285714,7.380952380952381,0.4523809523809524,1.0,0.0,0.0,0.0,nan
bwd_default_d6:19,bwd_default,synthetic,64.0,64.0,57.0,53.0,1.075,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,11.0,Abs:5;Add:5;Const:9;Exp:5;Exp2:2;Ln:1;Min:1;Mul:7;Neg:11;Pow:2;Tan:2;Var:3,57.0,53.0,1313.0,1313.0,1.0,100.0,5000.0,ClassCap,5.0,6359.0,2204.0,2755.0,23.6,35.0,25525.0,25525.0,1.0,766.0,766.0,1.0,0.0,-41.66,retired_axis,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,commutative(Mul):1685;reverse-associative(Mul):1672;associative(Mul):1456;fma-fusion:429;factor:373;distribute:365;commutative(Add):186;constant-fold:53;even-negation(Abs):37;involution(Sub):35;reverse-associative(Add):14;exp-homomorphism:14;associative(Add):13;commutative(Min):9;power-sqrt:5;power-recip:5;exp-ln-cancel:4;ln-exp-cancel:4,0,0,0,0,nan,nan,0,0,nan,nan,1.0,0.0,0.0,0.0,1.0,1.0,0.0,nan,51.9811320754717,119.98113207547169,0.660377358490566,1.0,0.0,0.0,0.0,nan
bwd_default_d6:20,bwd_default,synthetic,64.0,64.0,26.0,25.0,1.04,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,19.0,Abs:2;Add:2;Const:4;Cos:1;Exp:1;Max:1;Mul:1;Neg:7;Pow:2;Sin:2;Var:2,26.0,25.0,725.0,725.0,1.0,50.0,2000.0,Quiesced,2.0,36.0,13.0,34.0,0.3,16.0,349.0,349.0,1.0,349.0,349.0,1.0,0.0,-51.86,retired_axis,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,involution(Sub):11;commutative(Add):6;even-negation(Abs):6;commutative(Mul):3;commutative(Max):3;even-negation(Cos):3;power-recip:2;power-rsqrt:2,0,0,0,0,nan,nan,0,0,nan,nan,0.0,1.0,0.0,0.0,1.0,1.0,0.0,nan,1.36,1.44,0.64,1.0,0.0,0.0,0.0,nan
bwd_default_d6:21,bwd_default,synthetic,64.0,64.0,44.0,39.0,1.128,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,26.0,Abs:4;Add:6;Const:4;Cos:1;Log2:2;Max:1;Mul:2;Neg:12;Pow:2;Recip:1;Sin:1;Var:3,44.0,39.0,882.0,882.0,1.0,50.0,2000.0,Quiesced,2.0,73.0,25.0,57.0,1.0,23.0,2181707.0,2181707.0,1.0,647.0,647.0,1.0,0.0,-26.64,retired_axis,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,involution(Sub):19;commutative(Add):18;even-negation(Abs):12;fma-fusion:8;commutative(Mul):6;commutative(Max):3;even-negation(Cos):3;power-sqrt:2;recip-sqrt:2,0,0,0,0,nan,nan,0,0,nan,nan,0.0,1.0,0.0,0.0,1.0,1.0,0.0,nan,1.4615384615384615,1.8717948717948718,0.5897435897435898,1.0,0.0,0.0,0.0,nan
bwd_default_d6:22,bwd_default,synthetic,64.0,64.0,74.0,64.0,1.156,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,18.0,Abs:6;Add:10;Const:9;Cos:1;Exp:3;Log10:3;Max:1;Min:2;Mul:5;Neg:17;Pow:4;Sqrt:1;Var:2,74.0,64.0,1644.0,1644.0,1.0,100.0,5000.0,Quiesced,3.0,217.0,49.0,105.0,2.6,41.0,1135174.0,1135174.0,1.0,859.0,859.0,1.0,0.0,-47.75,retired_axis,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,commutative(Add):62;involution(Sub):42;even-negation(Abs):28;commutative(Mul):15;fma-fusion:12;commutative(Min):10;constant-fold:8;reverse-associative(Add):8;associative(Add):7;power-recip:6;commutative(Max):5;even-negation(Cos):5;power-sqrt:3;power-rsqrt:3;recip-sqrt:3,0,0,0,0,nan,nan,0,0,nan,nan,0.0,1.0,0.0,0.0,1.0,1.0,0.0,nan,1.640625,3.390625,0.640625,1.0,0.0,0.0,0.0,nan
bwd_default_d6:23,bwd_default,synthetic,64.0,64.0,32.0,30.0,1.067,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,19.0,Abs:4;Add:3;Atan2:1;Const:5;Ln:1;Neg:11;Pow:3;Sin:1;Var:1,32.0,30.0,922.0,922.0,1.0,50.0,2000.0,Quiesced,2.0,39.0,15.0,39.0,0.7,18.0,536.0,536.0,1.0,536.0,536.0,1.0,0.0,-41.87,retired_axis,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,involution(Sub):15;even-negation(Abs):11;commutative(Add):9;power-sqrt:2;power-rsqrt:2,0,0,0,0,nan,nan,0,0,nan,nan,0.0,1.0,0.0,0.0,1.0,1.0,0.0,nan,1.3,1.3,0.6,1.0,0.0,0.0,0.0,nan
bwd_default_d8:0,bwd_default,synthetic,64.0,64.0,117.0,92.0,1.272,189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,28.0,Abs:13;Add:15;Const:5;Cos:1;Exp:2;Exp2:3;Ln:1;Log10:1;Log2:5;Max:1;Min:1;Mul:7;Neg:22;Pow:9;Sqrt:1;Tan:1;Var:4,117.0,92.0,3376.0,5132.0,1.52,100.0,5000.0,Quiesced,6.0,1043.0,116.0,205.0,8.6,59.0,2557423.0,2528294.0,1.012,2458.0,1994.0,1.233,0.0,-40.94,retired_axis,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,commutative(Mul):212;commutative(Add):170;involution(Sub):110;even-negation(Abs):106;reverse-associative(Mul):94;associative(Mul):85;constant-fold:56;fma-fusion:47;power-sqrt:30;halving:28;doubling:16;power-combine:12;power-recip:12;commutative(Min):11;commutative(Max):11;even-negation(Cos):11;associative(Add):7;reverse-associative(Add):7;recip-sqrt:6;power-identity:5;distribute:4;factor:3,0,0,0,0,nan,nan,0,0,nan,nan,0.0,1.0,0.0,0.0,1.0,1.0,1.0,nan,2.2282608695652173,11.33695652173913,0.6413043478260869,1.0,0.0,0.0,0.0,nan
