name,group,nodes,tier,stop,machine_dependent,iters,max_iters,classes,max_classes,apps,unions,journal_unions,elapsed_ms,cost,dp_cost,ext_nodes,ref_stop,ref_iters,ref_classes,ref_apps,ref_elapsed_ms,ref_cost,loss_vs_ref_pct,lifted_stop,lifted_iters,lifted_classes,lifted_apps,lifted_elapsed_ms,lifted_cost,loss_vs_lifted_pct,cap_lift_changed,anomaly
glyph32:U+0047,glyph32,4563,classical,ClassCap,false,4,100,5000,5000,3251,2324,2378,49.1,8219,50443,1859,ClassCap,4,5000,3251,49.5,8219,0.00,ClassCap,8,19791,55636,902.7,7581,8.42,true,-
glyph32:U+0048,glyph32,247,classical,Timeout,true,6,100,4137,5000,26069,3598,3614,230.2,328,6000255,98,ClassCap,8,4213,38360,1064.4,328,0.00,ClassCap,12,15918,213483,62667.5,314,4.46,true,-
glyph32:U+0049,glyph32,391,classical,Timeout,true,4,100,4053,5000,14452,3455,3465,220.3,602,5000680,165,ClassCap,8,4372,36113,2093.5,506,18.97,ClassCap,10,16191,175509,41799.5,496,21.37,true,-
glyph32:U+004A,glyph32,2425,classical,ClassCap,false,5,100,4918,5000,8164,3112,3155,62.5,4052,22515,973,ClassCap,5,4918,8164,61.8,4052,0.00,ClassCap,8,19725,70671,2368.1,3957,2.40,true,-
glyph32:U+004B,glyph32,617,classical,Timeout,true,6,100,4735,5000,18267,3840,3856,225.5,898,6000847,253,ClassCap,8,4740,23735,366.8,878,2.28,ClassCap,8,18792,104962,41707.7,956,-6.07,true,more saturation extracted WORSE: cost prod=898 ref=878 lifted=956
glyph32:U+004C,glyph32,151,classical,Timeout,true,6,100,3979,5000,23522,3495,3512,392.6,185,3000156,66,ClassCap,9,4098,43781,1500.9,185,0.00,ClassCap,13,15679,234434,75207.0,185,0.00,true,-
glyph32:U+004D,glyph32,2345,classical,ClassCap,false,4,100,4946,5000,7201,3222,3249,56.7,4118,17320,972,ClassCap,4,4946,7201,56.2,4118,0.00,ClassCap,10,19422,83437,7910.1,3862,6.63,true,-
glyph32:U+004E,glyph32,1399,classical,ClassCap,false,8,100,4888,5000,15308,3548,3577,149.0,2379,41007086,576,ClassCap,8,4888,15308,148.9,2379,0.00,ClassCap,8,19314,84207,8602.9,2328,2.19,true,-
glyph32:U+004F,glyph32,5945,classical,ClassCap,false,4,100,5000,5000,2587,2027,2039,49.8,10741,80217,2385,ClassCap,4,5000,2587,50.0,10741,0.00,ClassCap,6,19690,46988,709.4,9800,9.60,true,-
glyph32:U+0050,glyph32,2409,classical,ClassCap,false,5,100,4929,5000,8446,3165,3214,67.7,3971,21855,964,ClassCap,5,4929,8446,68.4,3971,0.00,ClassCap,7,19533,71148,4430.7,3911,1.53,true,-
glyph32:U+0051,glyph32,6053,classical,ClassCap,false,4,100,5000,5000,2553,2012,2017,49.3,10729,82009,2414,ClassCap,4,5000,2553,49.7,10729,0.00,ClassCap,8,19690,54757,1147.3,9696,10.65,true,-
glyph32:U+0052,glyph32,2710,classical,ClassCap,false,4,100,4962,5000,6141,3001,3051,51.2,4771,24684,1139,ClassCap,4,4962,6141,51.5,4771,0.00,ClassCap,8,19391,76196,4221.9,4290,11.21,true,-
glyph32:U+0053,glyph32,7616,classical,ClassCap,false,3,100,5000,5000,1712,1591,1591,40.5,14050,131325,3171,ClassCap,3,5000,1712,40.3,14050,0.00,ClassCap,5,19772,33271,278.8,12567,11.80,true,-
glyph32:U+0054,glyph32,183,classical,Timeout,true,6,100,4082,5000,24645,3574,3590,408.5,227,4000189,75,ClassCap,8,4159,37735,1080.3,227,0.00,ClassCap,13,15810,237326,80439.2,227,0.00,true,-
glyph32:U+0055,glyph32,2899,classical,ClassCap,false,5,100,4953,5000,6574,2928,2978,61.9,5080,27573,1205,ClassCap,5,4953,6574,62.6,5080,0.00,ClassCap,8,19661,69398,2403.6,4584,10.82,true,-
glyph32:U+0056,glyph32,1573,classical,ClassCap,false,8,100,4857,5000,16634,3517,3550,161.8,2586,54007967,612,ClassCap,8,4857,16634,161.8,2586,0.00,ClassCap,8,19402,92220,21138.9,2618,-1.22,true,more saturation extracted WORSE: cost prod=2586 ref=2586 lifted=2618
glyph32:U+0057,glyph32,7232,classical,ClassCap,false,4,100,5000,5000,1940,1735,1737,53.0,13478,110600,3017,ClassCap,4,5000,1940,50.9,13478,0.00,ClassCap,8,19886,36093,449.7,12180,10.66,true,-
glyph32:U+0058,glyph32,343,classical,Timeout,true,4,100,4219,5000,14406,3588,3598,216.4,612,4000613,170,ClassCap,8,4374,35682,1334.6,420,45.71,ClassCap,10,15306,194584,62412.9,420,45.71,true,-
glyph32:U+0059,glyph32,263,classical,Timeout,true,5,100,4234,5000,20563,3666,3694,398.3,393,3000440,114,ClassCap,8,4303,37770,1108.0,317,23.97,ClassCap,10,15736,178243,63329.2,317,23.97,true,-
glyph32:U+005A,glyph32,255,classical,Timeout,true,5,100,3951,5000,20145,3388,3409,257.5,383,3000421,119,ClassCap,8,4227,39027,1312.9,345,11.01,ClassCap,11,15238,201185,63544.8,345,11.01,true,-
glyph32:U+005B,glyph32,183,classical,Quiesced,false,7,100,1519,5000,21494,1336,1344,47.5,234,400,81,Quiesced,7,1519,21494,47.6,234,0.00,Quiesced,7,1519,21494,47.8,234,0.00,false,-
glyph32:U+005C,glyph32,127,classical,Timeout,true,5,100,3294,5000,17350,2822,2847,203.8,166,1000194,53,ClassCap,8,3889,40727,1408.4,134,23.88,ClassCap,11,14884,193275,57362.8,128,29.69,true,-
glyph32:U+005D,glyph32,183,classical,Quiesced,false,7,100,1517,5000,21364,1332,1340,47.0,244,410,83,Quiesced,7,1517,21364,47.3,244,0.00,Quiesced,7,1517,21364,46.7,244,0.00,false,-
glyph32:U+005E,glyph32,199,classical,Timeout,true,5,100,3596,5000,18351,2960,2974,211.9,299,481,91,ClassCap,9,4182,44398,1749.3,223,34.08,ClassCap,11,16610,160500,19988.2,223,34.08,true,-
glyph32:U+005F,glyph32,119,classical,Timeout,true,6,100,2944,5000,22600,2614,2623,296.3,129,2000132,47,ClassCap,10,3545,55242,1594.8,129,0.00,ClassCap,17,12944,334615,69230.3,129,0.00,true,-
glyph32:U+0060,glyph32,1722,classical,ClassCap,false,5,100,4827,5000,11627,3464,3495,64.4,2822,87011372,675,ClassCap,5,4827,11627,64.8,2822,0.00,ClassCap,7,19596,83979,5213.0,3500,-19.37,true,more saturation extracted WORSE: cost prod=2822 ref=2822 lifted=3500
glyph32:U+0061,glyph32,5743,classical,ClassCap,false,4,100,5000,5000,2589,2030,2042,49.8,10588,74649,2389,ClassCap,4,5000,2589,49.8,10588,0.00,ClassCap,8,19783,53579,752.9,9639,9.85,true,-
glyph32:U+0062,glyph32,5129,classical,ClassCap,false,4,100,4998,5000,3026,2186,2246,49.2,9394,57768,2105,ClassCap,4,4998,3026,49.1,9394,0.00,ClassCap,8,19789,54507,830.3,8374,12.18,true,-
glyph32:U+0063,glyph32,4671,classical,ClassCap,false,4,100,5000,5000,3252,2313,2369,48.3,8385,52503,1881,ClassCap,4,5000,3252,48.2,8385,0.00,ClassCap,7,19796,53711,680.7,7764,8.00,true,-
glyph32:U+0064,glyph32,5864,classical,ClassCap,false,4,100,5000,5000,2542,2014,2021,51.0,10743,78579,2420,ClassCap,4,5000,2542,49.9,10743,0.00,ClassCap,8,19789,53684,744.3,9824,9.35,true,-
glyph32:U+0065,glyph32,4872,classical,ClassCap,false,4,100,4998,5000,3176,2264,2317,49.1,8737,54816,1964,ClassCap,4,4998,3176,48.7,8737,0.00,ClassCap,8,19787,55902,894.5,8055,8.47,true,-
glyph32:U+0066,glyph32,2364,classical,ClassCap,false,5,100,4930,5000,8613,3200,3245,69.9,3925,20652,960,ClassCap,5,4930,8613,69.7,3925,0.00,ClassCap,8,19489,80217,8014.0,3706,5.91,true,-
glyph32:U+0067,glyph32,7009,classical,ClassCap,false,4,100,5000,5000,2009,1803,1803,51.3,12787,117575,2887,ClassCap,4,5000,2009,50.6,12787,0.00,ClassCap,8,19717,47597,523.5,11623,10.01,true,-
glyph32:U+0068,glyph32,2931,classical,ClassCap,false,4,100,4978,5000,5491,2942,2996,51.6,5114,27010,1208,ClassCap,4,4978,5491,51.7,5114,0.00,ClassCap,7,19318,69528,2838.9,4578,11.71,true,-
glyph32:U+0069,glyph32,2123,classical,ClassCap,false,8,100,4881,5000,15217,3368,3409,122.8,3395,16699,806,ClassCap,8,4881,15217,122.8,3395,0.00,ClassCap,8,19379,90998,13111.6,3370,0.74,true,-
glyph32:U+006A,glyph32,4293,classical,ClassCap,false,4,100,4998,5000,3427,2421,2478,47.6,7463,46595,1690,ClassCap,4,4998,3427,47.6,7463,0.00,ClassCap,7,19797,53781,655.5,6987,6.81,true,-
glyph32:U+006B,glyph32,1460,classical,ClassCap,false,8,100,4852,5000,18230,3516,3545,171.9,2445,13002225,597,ClassCap,8,4852,18230,170.5,2445,0.00,ClassCap,8,19282,94863,25912.8,2237,9.30,true,-
glyph32:U+006C,glyph32,323,classical,Timeout,true,5,100,4270,5000,20594,3658,3682,339.7,488,5000487,143,ClassCap,8,4360,36723,1217.2,421,15.91,ClassCap,10,15637,178377,45936.5,431,13.23,true,more saturation extracted WORSE: cost prod=488 ref=421 lifted=431
glyph32:U+006D,glyph32,5289,classical,ClassCap,false,4,100,4999,5000,2968,2155,2213,49.1,9615,60996,2164,ClassCap,4,4999,2968,48.9,9615,0.00,ClassCap,8,19734,55153,1017.1,8701,10.50,true,-
glyph32:U+006E,glyph32,2264,classical,ClassCap,false,8,100,4925,5000,12175,3234,3279,117.0,3708,20082,909,ClassCap,8,4925,12175,117.2,3708,0.00,ClassCap,8,19548,80347,9259.6,3591,3.26,true,-
glyph32:U+006F,glyph32,5716,classical,ClassCap,false,4,100,5000,5000,2702,2074,2109,49.5,10218,71985,2287,ClassCap,4,5000,2702,49.6,10218,0.00,ClassCap,6,19696,47551,729.6,9268,10.25,true,-
glyph32:U+0070,glyph32,5406,classical,ClassCap,false,4,100,4999,5000,2841,2117,2162,49.3,9879,64692,2222,ClassCap,4,4999,2841,49.4,9879,0.00,ClassCap,8,19751,55342,746.3,9013,9.61,true,-
glyph32:U+0071,glyph32,5046,classical,ClassCap,false,4,100,4998,5000,3104,2218,2274,49.0,9156,55199,2052,ClassCap,4,4998,3104,49.1,9156,0.00,ClassCap,8,19766,54770,708.6,8087,13.22,true,-
glyph32:U+0072,glyph32,2456,classical,ClassCap,false,5,100,4944,5000,7671,3102,3144,66.8,4152,21517,1016,ClassCap,5,4944,7671,66.6,4152,0.00,ClassCap,8,19354,82102,6502.9,3874,7.18,true,-
glyph32:U+0073,glyph32,6929,classical,ClassCap,false,4,100,5000,5000,2041,1811,1811,50.7,12668,117681,2853,ClassCap,4,5000,2041,50.7,12668,0.00,ClassCap,6,19721,40703,362.3,11522,9.95,true,-
glyph32:U+0074,glyph32,2421,classical,ClassCap,false,5,100,4928,5000,7907,3094,3133,61.8,4088,21144,996,ClassCap,5,4928,7907,61.4,4088,0.00,ClassCap,8,19487,75445,3474.0,3985,2.58,true,-
glyph32:U+0075,glyph32,2493,classical,ClassCap,false,5,100,4924,5000,7957,3073,3115,61.8,4135,22529,1001,ClassCap,5,4924,7957,61.7,4135,0.00,ClassCap,7,19752,69829,2401.3,4135,0.00,true,-
glyph32:U+0076,glyph32,1115,classical,Timeout,true,8,100,4839,5000,19266,3636,3662,208.5,1625,10001415,403,ClassCap,8,4839,19427,224.8,1625,0.00,ClassCap,8,19471,82904,17260.2,1713,-5.14,true,more saturation extracted WORSE: cost prod=1625 ref=1625 lifted=1713
glyph32:U+0077,glyph32,3663,classical,ClassCap,false,4,100,4995,5000,3978,2551,2607,49.1,6577,39056,1504,ClassCap,4,4995,3978,49.1,6577,0.00,ClassCap,8,19738,55938,1513.1,5942,10.69,true,-
glyph32:U+0078,glyph32,343,classical,Timeout,true,4,100,4215,5000,14396,3590,3600,214.0,599,4000613,161,ClassCap,8,4379,35750,1391.0,407,47.17,ClassCap,10,15210,197097,61431.9,407,47.17,true,-
glyph32:U+0079,glyph32,3530,classical,ClassCap,false,4,100,4993,5000,4251,2623,2673,48.7,6260,38104,1446,ClassCap,4,4993,4251,48.8,6260,0.00,ClassCap,8,19702,65401,1803.6,5777,8.36,true,-
glyph32:U+007A,glyph32,255,classical,Timeout,true,5,100,3952,5000,20143,3388,3409,258.1,383,3000421,120,ClassCap,8,4225,39040,1308.7,345,11.01,ClassCap,11,15238,201185,62852.3,345,11.01,true,-
glyph32:U+007B,glyph32,4598,classical,ClassCap,false,4,100,5000,5000,3293,2330,2385,48.8,8171,49027,1863,ClassCap,4,5000,3293,48.9,8171,0.00,ClassCap,7,19800,53565,689.2,7735,5.64,true,-
glyph32:U+007C,glyph32,119,classical,Quiesced,false,7,100,1043,5000,15325,924,932,38.1,133,1000178,49,Quiesced,7,1043,15325,38.2,133,0.00,Quiesced,7,1043,15325,38.2,133,0.00,false,-
glyph32:U+007D,glyph32,4598,classical,ClassCap,false,4,100,5000,5000,3294,2338,2393,48.5,8172,48979,1854,ClassCap,4,5000,3294,48.7,8172,0.00,ClassCap,8,19791,56488,891.3,7701,6.12,true,-
glyph32:U+007E,glyph32,5093,classical,ClassCap,false,4,100,5000,5000,3002,2197,2254,49.3,9338,60095,2086,ClassCap,4,5000,3002,49.4,9338,0.00,ClassCap,6,19709,47992,854.4,8201,13.86,true,-
