name,group,nodes,tier,stop,machine_dependent,iters,max_iters,classes,max_classes,apps,unions,journal_unions,elapsed_ms,cost,dp_cost,ext_nodes,ref_stop,ref_iters,ref_classes,ref_apps,ref_elapsed_ms,ref_cost,loss_vs_ref_pct,lifted_stop,lifted_iters,lifted_classes,lifted_apps,lifted_elapsed_ms,lifted_cost,loss_vs_lifted_pct,cap_lift_changed,anomaly
glyph16:U+0030,glyph16,5402,classical,ClassCap,false,4,100,5000,5000,2818,2115,2162,50.0,9922,63104,2219,ClassCap,4,5000,2818,49.9,9922,0.00,ClassCap,8,19709,54997,1115.4,8746,13.45,true,-
glyph16:U+0031,glyph16,1452,classical,ClassCap,false,8,100,4855,5000,18583,3512,3537,193.8,2420,15002171,596,ClassCap,8,4855,18583,194.5,2420,0.00,ClassCap,8,19410,85370,15109.1,2421,-0.04,true,more saturation extracted WORSE: cost prod=2420 ref=2420 lifted=2421
glyph16:U+0032,glyph16,3891,classical,ClassCap,false,4,100,4995,5000,3851,2502,2562,48.7,6961,41949,1595,ClassCap,4,4995,3851,48.6,6961,0.00,ClassCap,8,19637,65091,2705.5,6406,8.66,true,-
glyph16:U+0033,glyph16,6993,classical,ClassCap,false,4,100,5000,5000,2015,1801,1801,50.8,12785,118257,2892,ClassCap,4,5000,2015,50.8,12785,0.00,ClassCap,8,19728,46631,539.8,11630,9.93,true,-
glyph16:U+0034,glyph16,1637,classical,ClassCap,false,8,100,4848,5000,17523,3492,3521,158.6,2680,61008462,654,ClassCap,8,4848,17523,159.0,2680,0.00,ClassCap,8,19362,81146,6309.8,2656,0.90,true,-
glyph16:U+0035,glyph16,4546,classical,ClassCap,false,4,100,5000,5000,3268,2336,2391,47.5,8102,50180,1839,ClassCap,4,5000,3268,48.4,8102,0.00,ClassCap,8,19685,59032,1288.1,7363,10.04,true,-
glyph16:U+0036,glyph16,8067,classical,ClassCap,false,2,100,5000,5000,1394,1337,1337,26.9,15249,245969,3414,ClassCap,2,5000,1394,27.3,15249,0.00,ClassCap,7,19607,44108,320.2,13401,13.79,true,-
glyph16:U+0037,glyph16,191,classical,Timeout,true,5,100,3440,5000,18864,2930,2951,217.5,278,2000306,90,ClassCap,8,4021,41407,1532.5,240,15.83,ClassCap,12,15906,215864,100119.4,240,15.83,true,-
glyph16:U+0038,glyph16,9774,classical,ClassCap,false,2,100,5000,5000,585,580,580,29.3,18500,299657,4126,ClassCap,2,5000,585,28.3,18500,0.00,ClassCap,6,19839,31728,307.6,16102,14.89,true,-
glyph16:U+0039,glyph16,8267,classical,ClassCap,false,2,100,5000,5000,1262,1226,1226,27.5,15698,255187,3520,ClassCap,2,5000,1262,27.5,15698,0.00,ClassCap,7,19742,40547,325.9,13705,14.54,true,-
glyph16:U+003A,glyph16,3655,classical,ClassCap,false,4,100,4986,5000,4612,2716,2778,48.4,6131,35495,1399,ClassCap,4,4986,4612,47.5,6131,0.00,ClassCap,8,19572,68515,2223.3,5908,3.77,true,-
glyph16:U+003B,glyph16,3494,classical,ClassCap,false,3,100,4987,5000,4286,2724,2783,36.4,5957,34477,1390,ClassCap,3,4987,4286,36.4,5957,0.00,ClassCap,8,19606,70491,3172.7,5415,10.01,true,-
glyph16:U+003C,glyph16,295,classical,ClassCap,false,8,100,3103,5000,40606,2695,2711,190.9,394,3000500,131,ClassCap,8,3103,40606,190.6,394,0.00,Quiesced,17,4347,155496,533.6,394,0.00,true,-
glyph16:U+003D,glyph16,183,classical,Quiesced,false,7,100,1514,5000,21429,1334,1342,48.3,231,405,77,Quiesced,7,1514,21429,50.0,231,0.00,Quiesced,7,1514,21429,49.2,231,0.00,false,-
glyph16:U+003E,glyph16,295,classical,Timeout,true,8,100,3113,5000,39398,2705,2721,201.5,399,4000451,132,ClassCap,8,3113,40709,204.4,399,0.00,Quiesced,17,4360,156076,569.2,399,0.00,true,-
glyph16:U+003F,glyph16,6716,classical,ClassCap,false,4,100,5000,5000,2094,1840,1840,51.5,12160,111523,2730,ClassCap,4,5000,2094,51.0,12160,0.00,ClassCap,8,19742,49644,596.3,11103,9.52,true,-
glyph16:U+0040,glyph16,12056,classical,ClassCap,false,0,100,5226,5000,0,0,0,0.0,23527,409366,5226,ClassCap,0,5226,0,0.0,23527,0.00,ClassCap,5,19925,20287,261.2,21300,10.46,true,-
glyph16:U+0041,glyph16,1605,classical,ClassCap,false,8,100,4862,5000,17426,3515,3544,186.4,2588,35005238,622,ClassCap,8,4862,17426,186.8,2588,0.00,ClassCap,9,19098,110559,40078.0,2503,3.40,true,-
glyph16:U+0042,glyph16,4470,classical,ClassCap,false,4,100,4999,5000,3416,2368,2430,47.8,7956,48431,1800,ClassCap,4,4999,3416,48.0,7956,0.00,ClassCap,6,19719,49179,824.2,7291,9.12,true,-
glyph16:U+0043,glyph16,5129,classical,ClassCap,false,4,100,4998,5000,3012,2181,2237,49.4,9423,59084,2114,ClassCap,4,4998,3012,49.6,9423,0.00,ClassCap,7,19777,52456,681.6,8401,12.17,true,-
glyph16:U+0044,glyph16,2606,classical,ClassCap,false,4,100,4947,5000,6656,3036,3086,52.2,4559,24342,1082,ClassCap,4,4947,6656,52.3,4559,0.00,ClassCap,7,19535,69662,3970.0,4211,8.26,true,-
glyph16:U+0045,glyph16,247,classical,Timeout,true,6,100,4142,5000,26083,3610,3626,370.1,335,6000255,109,ClassCap,8,4206,38457,976.9,335,0.00,ClassCap,12,15751,214391,53658.3,335,0.00,true,-
glyph16:U+0046,glyph16,215,classical,Timeout,true,6,100,4105,5000,25694,3586,3602,406.5,285,5000222,95,ClassCap,8,4177,38573,1056.7,285,0.00,ClassCap,13,15838,239006,78314.0,285,0.00,true,-
glyph16:U+0047,glyph16,4563,classical,ClassCap,false,4,100,5000,5000,3251,2324,2378,47.8,8219,50443,1859,ClassCap,4,5000,3251,48.3,8219,0.00,ClassCap,8,19791,55636,889.2,7581,8.42,true,-
glyph16:U+0048,glyph16,247,classical,Timeout,true,6,100,4137,5000,26063,3597,3613,226.3,328,6000255,98,ClassCap,8,4213,38354,1050.2,328,0.00,ClassCap,12,15919,213463,61551.7,314,4.46,true,-
glyph16:U+0049,glyph16,391,classical,Timeout,true,5,100,4291,5000,20353,3684,3694,367.6,582,5000670,161,ClassCap,8,4372,36105,1488.3,506,15.02,ClassCap,10,16191,175503,54277.6,496,17.34,true,-
glyph16:U+004A,glyph16,2425,classical,ClassCap,false,5,100,4918,5000,8164,3112,3155,62.6,4052,22515,973,ClassCap,5,4918,8164,62.5,4052,0.00,ClassCap,8,19725,70683,2386.0,3957,2.40,true,-
glyph16:U+004B,glyph16,617,classical,Timeout,true,6,100,4736,5000,18249,3840,3856,225.7,898,6000847,253,ClassCap,8,4741,23708,366.9,878,2.28,ClassCap,8,18793,104943,43410.3,956,-6.07,true,more saturation extracted WORSE: cost prod=898 ref=878 lifted=956
glyph16:U+004C,glyph16,151,classical,Timeout,true,6,100,3980,5000,23521,3495,3512,418.2,185,3000156,66,ClassCap,9,4099,43770,1623.3,185,0.00,ClassCap,13,15680,234419,76822.6,185,0.00,true,-
glyph16:U+004D,glyph16,2345,classical,ClassCap,false,4,100,4946,5000,7201,3222,3249,54.1,4118,17320,972,ClassCap,4,4946,7201,54.0,4118,0.00,ClassCap,10,19423,83395,8027.8,3862,6.63,true,-
glyph16:U+004E,glyph16,1399,classical,Timeout,true,7,100,4888,5000,12663,3547,3576,227.4,2383,41007090,577,ClassCap,8,4889,15269,341.7,2379,0.17,ClassCap,8,19313,84246,11630.0,2328,2.36,true,-
glyph16:U+004F,glyph16,5945,classical,ClassCap,false,4,100,5000,5000,2587,2027,2039,58.7,10741,80217,2385,ClassCap,4,5000,2587,75.6,10741,0.00,ClassCap,6,19690,46988,768.2,9800,9.60,true,-
glyph16:U+0050,glyph16,2409,classical,ClassCap,false,5,100,4929,5000,8446,3165,3214,72.5,3971,21855,964,ClassCap,5,4929,8446,77.8,3971,0.00,ClassCap,7,19533,71132,4653.8,3911,1.53,true,-
glyph16:U+0051,glyph16,6053,classical,ClassCap,false,4,100,5000,5000,2553,2012,2017,51.1,10729,82009,2414,ClassCap,4,5000,2553,50.9,10729,0.00,ClassCap,8,19690,54757,1176.7,9696,10.65,true,-
glyph16:U+0052,glyph16,2710,classical,ClassCap,false,4,100,4962,5000,6141,3001,3051,59.6,4771,24684,1139,ClassCap,4,4962,6141,58.7,4771,0.00,ClassCap,8,19392,76155,4331.1,4290,11.21,true,-
glyph16:U+0053,glyph16,7616,classical,ClassCap,false,3,100,5000,5000,1712,1591,1591,43.2,14050,131325,3171,ClassCap,3,5000,1712,40.3,14050,0.00,ClassCap,5,19772,33271,291.1,12567,11.80,true,-
glyph16:U+0054,glyph16,183,classical,Timeout,true,6,100,4083,5000,24640,3574,3590,454.3,227,4000189,75,ClassCap,8,4160,37723,1113.9,227,0.00,ClassCap,13,15811,237313,82135.7,227,0.00,true,-
glyph16:U+0055,glyph16,2899,classical,ClassCap,false,5,100,4953,5000,6574,2928,2978,62.3,5080,27573,1205,ClassCap,5,4953,6574,62.3,5080,0.00,ClassCap,8,19663,69350,2398.1,4584,10.82,true,-
glyph16:U+0056,glyph16,1573,classical,ClassCap,false,8,100,4857,5000,16634,3517,3550,161.4,2586,54007967,612,ClassCap,8,4857,16634,167.6,2586,0.00,ClassCap,8,19402,92220,27217.6,2618,-1.22,true,more saturation extracted WORSE: cost prod=2586 ref=2586 lifted=2618
glyph16:U+0057,glyph16,7232,classical,ClassCap,false,4,100,5000,5000,1940,1735,1737,73.3,13478,110600,3017,ClassCap,4,5000,1940,73.1,13478,0.00,ClassCap,8,19886,36093,867.2,12180,10.66,true,-
glyph16:U+0058,glyph16,343,classical,Timeout,true,4,100,4219,5000,14406,3588,3598,314.9,612,4000613,170,ClassCap,8,4374,35682,2535.8,420,45.71,ClassCap,10,15306,194584,72013.2,420,45.71,true,-
glyph16:U+0059,glyph16,263,classical,Timeout,true,5,100,4233,5000,20560,3665,3693,269.5,393,3000440,114,ClassCap,8,4301,37790,1100.2,317,23.97,ClassCap,10,15737,178236,57429.6,317,23.97,true,-
glyph16:U+005A,glyph16,255,classical,Timeout,true,5,100,3952,5000,20143,3388,3409,255.1,383,3000421,119,ClassCap,8,4227,39024,1306.7,345,11.01,ClassCap,11,15239,201179,62927.1,345,11.01,true,-
glyph16:U+005B,glyph16,183,classical,Quiesced,false,7,100,1519,5000,21494,1336,1344,47.5,234,400,81,Quiesced,7,1519,21494,47.6,234,0.00,Quiesced,7,1519,21494,47.4,234,0.00,false,-
glyph16:U+005C,glyph16,127,classical,Timeout,true,5,100,3294,5000,17350,2822,2847,211.1,166,1000194,53,ClassCap,8,3889,40727,1403.3,134,23.88,ClassCap,11,14884,193275,57831.2,128,29.69,true,-
glyph16:U+005D,glyph16,183,classical,Quiesced,false,7,100,1517,5000,21364,1332,1340,47.2,244,410,83,Quiesced,7,1517,21364,47.3,244,0.00,Quiesced,7,1517,21364,47.1,244,0.00,false,-
glyph16:U+005E,glyph16,199,classical,Timeout,true,5,100,3596,5000,18351,2960,2974,209.8,299,481,91,ClassCap,9,4182,44398,1752.3,223,34.08,ClassCap,11,16610,160500,20248.6,223,34.08,true,-
glyph16:U+005F,glyph16,119,classical,Timeout,true,6,100,2944,5000,22600,2614,2623,295.8,129,2000132,47,ClassCap,10,3545,55242,1587.1,129,0.00,ClassCap,17,12944,334615,69477.8,129,0.00,true,-
glyph16:U+0060,glyph16,1722,classical,ClassCap,false,5,100,4827,5000,11627,3464,3495,64.1,2822,87011372,675,ClassCap,5,4827,11627,63.3,2822,0.00,ClassCap,7,19596,83979,5175.0,3500,-19.37,true,more saturation extracted WORSE: cost prod=2822 ref=2822 lifted=3500
glyph16:U+0061,glyph16,5743,classical,ClassCap,false,4,100,5000,5000,2589,2030,2042,49.9,10588,74649,2389,ClassCap,4,5000,2589,50.1,10588,0.00,ClassCap,8,19783,53579,750.7,9639,9.85,true,-
glyph16:U+0062,glyph16,5129,classical,ClassCap,false,4,100,4998,5000,3026,2186,2246,48.6,9394,57768,2105,ClassCap,4,4998,3026,49.3,9394,0.00,ClassCap,8,19789,54507,829.8,8374,12.18,true,-
glyph16:U+0063,glyph16,4671,classical,ClassCap,false,4,100,5000,5000,3252,2313,2369,47.9,8385,52503,1881,ClassCap,4,5000,3252,48.3,8385,0.00,ClassCap,7,19796,53711,678.4,7764,8.00,true,-
glyph16:U+0064,glyph16,5864,classical,ClassCap,false,4,100,5000,5000,2542,2014,2021,49.5,10743,78579,2420,ClassCap,4,5000,2542,49.3,10743,0.00,ClassCap,8,19789,53684,740.9,9824,9.35,true,-
glyph16:U+0065,glyph16,4872,classical,ClassCap,false,4,100,4998,5000,3176,2264,2317,49.2,8737,54816,1964,ClassCap,4,4998,3176,49.2,8737,0.00,ClassCap,8,19787,55902,887.5,8055,8.47,true,-
glyph16:U+0066,glyph16,2364,classical,ClassCap,false,5,100,4930,5000,8613,3200,3245,69.7,3925,20652,960,ClassCap,5,4930,8613,69.2,3925,0.00,ClassCap,8,19491,80180,8087.2,3706,5.91,true,-
glyph16:U+0067,glyph16,7009,classical,ClassCap,false,4,100,5000,5000,2009,1803,1803,52.5,12787,117575,2887,ClassCap,4,5000,2009,50.3,12787,0.00,ClassCap,8,19717,47597,528.0,11623,10.01,true,-
glyph16:U+0068,glyph16,2931,classical,ClassCap,false,4,100,4978,5000,5491,2942,2996,52.0,5114,27010,1208,ClassCap,4,4978,5491,51.8,5114,0.00,ClassCap,7,19317,69544,2830.6,4578,11.71,true,-
glyph16:U+0069,glyph16,2123,classical,ClassCap,false,8,100,4880,5000,15272,3368,3409,122.3,3395,16699,806,ClassCap,8,4880,15272,122.9,3395,0.00,ClassCap,8,19379,91004,13444.8,3370,0.74,true,-
glyph16:U+006A,glyph16,4293,classical,ClassCap,false,4,100,4998,5000,3427,2421,2478,47.8,7463,46595,1690,ClassCap,4,4998,3427,48.0,7463,0.00,ClassCap,7,19796,53818,659.4,6987,6.81,true,-
glyph16:U+006B,glyph16,1460,classical,ClassCap,false,8,100,4852,5000,18239,3517,3546,173.6,2430,13002210,596,ClassCap,8,4852,18239,174.0,2430,0.00,ClassCap,8,19281,94885,26003.8,2237,8.63,true,-
glyph16:U+006C,glyph16,323,classical,Timeout,true,5,100,4269,5000,20597,3658,3682,333.9,488,5000487,143,ClassCap,8,4359,36736,1206.3,421,15.91,ClassCap,10,15636,178386,47725.0,431,13.23,true,more saturation extracted WORSE: cost prod=488 ref=421 lifted=431
glyph16:U+006D,glyph16,5289,classical,ClassCap,false,4,100,4999,5000,2968,2155,2213,49.1,9615,60996,2164,ClassCap,4,4999,2968,49.1,9615,0.00,ClassCap,8,19734,55153,1059.7,8701,10.50,true,-
glyph16:U+006E,glyph16,2264,classical,ClassCap,false,8,100,4925,5000,12175,3234,3279,119.7,3708,20082,909,ClassCap,8,4925,12175,117.2,3708,0.00,ClassCap,8,19548,80347,9325.6,3591,3.26,true,-
glyph16:U+006F,glyph16,5716,classical,ClassCap,false,4,100,5000,5000,2702,2074,2109,51.3,10218,71985,2287,ClassCap,4,5000,2702,50.1,10218,0.00,ClassCap,6,19696,47551,741.0,9268,10.25,true,-
glyph16:U+0070,glyph16,5406,classical,ClassCap,false,4,100,4999,5000,2841,2117,2162,50.2,9879,64692,2222,ClassCap,4,4999,2841,50.2,9879,0.00,ClassCap,8,19751,55342,766.8,9013,9.61,true,-
glyph16:U+0071,glyph16,5046,classical,ClassCap,false,4,100,4998,5000,3104,2218,2274,50.0,9156,55199,2052,ClassCap,4,4998,3104,49.8,9156,0.00,ClassCap,8,19766,54770,720.3,8087,13.22,true,-
glyph16:U+0072,glyph16,2456,classical,ClassCap,false,5,100,4944,5000,7671,3102,3144,67.7,4152,21517,1016,ClassCap,5,4944,7671,67.5,4152,0.00,ClassCap,8,19354,82102,7497.0,3874,7.18,true,-
glyph16:U+0073,glyph16,6929,classical,ClassCap,false,4,100,5000,5000,2041,1811,1811,53.7,12668,117681,2853,ClassCap,4,5000,2041,52.4,12668,0.00,ClassCap,6,19721,40703,407.0,11522,9.95,true,-
glyph16:U+0074,glyph16,2421,classical,ClassCap,false,5,100,4928,5000,7907,3094,3133,66.8,4088,21144,996,ClassCap,5,4928,7907,65.9,4088,0.00,ClassCap,8,19487,75445,4487.2,3985,2.58,true,-
glyph16:U+0075,glyph16,2493,classical,ClassCap,false,5,100,4924,5000,7957,3073,3115,64.9,4135,22529,1001,ClassCap,5,4924,7957,63.6,4135,0.00,ClassCap,7,19752,69829,2461.1,4135,0.00,true,-
glyph16:U+0076,glyph16,1115,classical,Timeout,true,8,100,4839,5000,19266,3636,3662,213.2,1625,10001415,403,ClassCap,8,4839,19427,234.8,1625,0.00,ClassCap,8,19471,82904,25513.7,1713,-5.14,true,more saturation extracted WORSE: cost prod=1625 ref=1625 lifted=1713
glyph16:U+0077,glyph16,3663,classical,ClassCap,false,4,100,4995,5000,3978,2551,2607,62.9,6577,39056,1504,ClassCap,4,4995,3978,63.8,6577,0.00,ClassCap,8,19738,55938,2094.1,5942,10.69,true,-
glyph16:U+0078,glyph16,343,classical,Timeout,true,4,100,4215,5000,14396,3590,3600,234.3,599,4000613,161,ClassCap,8,4379,35750,1504.9,407,47.17,ClassCap,10,15210,197097,81851.5,407,47.17,true,-
glyph16:U+0079,glyph16,3530,classical,ClassCap,false,4,100,4993,5000,4251,2623,2673,48.5,6260,38104,1446,ClassCap,4,4993,4251,48.8,6260,0.00,ClassCap,8,19701,65430,1796.4,5777,8.36,true,-
glyph16:U+007A,glyph16,255,classical,Timeout,true,5,100,3952,5000,20143,3388,3409,257.1,383,3000421,120,ClassCap,8,4225,39040,1317.0,345,11.01,ClassCap,11,15238,201185,64441.2,345,11.01,true,-
glyph16:U+007B,glyph16,4598,classical,ClassCap,false,4,100,5000,5000,3293,2330,2385,48.2,8171,49027,1863,ClassCap,4,5000,3293,48.1,8171,0.00,ClassCap,7,19800,53565,683.0,7735,5.64,true,-
glyph16:U+007C,glyph16,119,classical,Quiesced,false,7,100,1044,5000,15325,924,932,38.3,133,1000178,49,Quiesced,7,1044,15325,37.6,133,0.00,Quiesced,7,1044,15325,38.5,133,0.00,false,-
glyph16:U+007D,glyph16,4598,classical,ClassCap,false,4,100,5000,5000,3294,2338,2393,48.4,8172,48979,1854,ClassCap,4,5000,3294,48.3,8172,0.00,ClassCap,8,19791,56488,885.8,7701,6.12,true,-
glyph16:U+007E,glyph16,5093,classical,ClassCap,false,4,100,5000,5000,3002,2197,2254,49.0,9338,60095,2086,ClassCap,4,5000,3002,49.4,9338,0.00,ClassCap,6,19709,47992,847.9,8201,13.86,true,-
glyph32:U+0020,glyph32,1,blitz,Quiesced,false,1,20,1,500,0,0,0,0.0,0,0,1,Quiesced,1,1,0,0.0,0,NA,Quiesced,1,1,0,0.0,0,NA,false,-
glyph32:U+0021,glyph32,1927,classical,ClassCap,false,8,100,4844,5000,16081,3446,3481,113.0,3063,1015294,718,ClassCap,8,4844,16081,113.5,3063,0.00,ClassCap,8,19614,86675,16903.9,3071,-0.26,true,more saturation extracted WORSE: cost prod=3063 ref=3063 lifted=3071
glyph32:U+0022,glyph32,199,classical,Timeout,true,5,100,3609,5000,18218,2980,2994,212.1,290,481,82,ClassCap,9,4179,44284,1679.6,214,35.51,ClassCap,11,16533,162274,20626.0,214,35.51,true,-
glyph32:U+0023,glyph32,615,classical,Timeout,true,4,100,4552,5000,13625,3778,3788,200.3,965,8001121,253,ClassCap,9,4619,32079,937.8,739,30.58,ClassCap,9,16454,163574,53653.5,749,28.84,true,more saturation extracted WORSE: cost prod=965 ref=739 lifted=749
glyph32:U+0024,glyph32,7185,classical,ClassCap,false,4,100,5000,5000,1962,1761,1761,51.0,13115,119985,2982,ClassCap,4,5000,1962,50.9,13115,0.00,ClassCap,8,19709,46664,548.9,11957,9.68,true,-
glyph32:U+0025,glyph32,7327,classical,ClassCap,false,4,100,5000,5000,2081,1830,1833,50.9,12619,121960,2793,ClassCap,4,5000,2081,51.3,12619,0.00,ClassCap,8,19758,51204,1158.5,11277,11.90,true,-
glyph32:U+0026,glyph32,9420,classical,ClassCap,false,2,100,5000,5000,698,692,692,28.6,17979,288778,4021,ClassCap,2,5000,698,28.4,17979,0.00,ClassCap,6,19839,32598,315.1,15625,15.07,true,-
glyph32:U+0027,glyph32,127,classical,Timeout,true,6,100,4133,5000,22050,3475,3485,382.3,137,1000182,53,ClassCap,9,4376,38714,2229.8,133,3.01,ClassCap,11,17976,126960,22297.4,133,3.01,true,-
glyph32:U+0028,glyph32,1855,classical,ClassCap,false,5,100,4870,5000,10896,3445,3480,71.0,3051,9012581,716,ClassCap,5,4870,10896,69.4,3051,0.00,ClassCap,7,19658,80050,12958.2,3684,-17.18,true,more saturation extracted WORSE: cost prod=3051 ref=3051 lifted=3684
glyph32:U+0029,glyph32,1855,classical,ClassCap,false,5,100,4870,5000,10902,3446,3481,69.1,3051,9012581,718,ClassCap,5,4870,10902,68.3,3051,0.00,ClassCap,7,19658,78934,10204.6,3649,-16.39,true,more saturation extracted WORSE: cost prod=3051 ref=3051 lifted=3649
glyph32:U+002A,glyph32,559,classical,Timeout,true,5,100,4839,5000,15357,3835,3839,279.1,1003,1536,282,ClassCap,8,4873,20703,878.5,931,7.73,ClassCap,9,17798,137878,46618.8,737,36.09,true,-
glyph32:U+002B,glyph32,247,classical,ClassCap,false,7,100,2078,5000,27850,1827,1835,74.5,319,3000416,97,ClassCap,7,2078,27850,75.0,319,0.00,Quiesced,12,2346,60676,151.3,319,0.00,true,-
glyph32:U+002C,glyph32,1694,classical,ClassCap,false,7,100,4912,5000,12649,3500,3531,126.1,2770,64009751,654,ClassCap,7,4912,12649,125.9,2770,0.00,ClassCap,7,19670,80180,12915.5,3437,-19.41,true,more saturation extracted WORSE: cost prod=2770 ref=2770 lifted=3437
glyph32:U+002D,glyph32,119,classical,Quiesced,false,7,100,1034,5000,15080,910,918,35.2,133,232,50,Quiesced,7,1034,15080,35.6,133,0.00,Quiesced,7,1034,15080,35.3,133,0.00,false,-
