name,category,rule_order,node_count,max_classes,stop,hit_class_cap,live_before,closure_unions,live_after,reduction_frac,cost_before,cost_after,cost_change_frac,would_avoid_cap
glyph16:U+004E,glyph,production,1399,5000,ClassCap,true,1325,0,1325,0.000000,2457,2457,0.000000,true
glyph16:U+004F,glyph,production,5945,5000,ClassCap,true,3006,0,3006,0.000000,10769,10769,0.000000,true
glyph16:U+0050,glyph,production,2409,5000,ClassCap,true,1714,4,1710,0.002334,3990,3990,0.000000,true
glyph16:U+0051,glyph,production,6053,5000,ClassCap,true,3029,0,3029,0.000000,10749,10749,0.000000,true
glyph16:U+0052,glyph,production,2710,5000,ClassCap,true,2000,0,2000,0.000000,4725,4725,0.000000,true
glyph16:U+0053,glyph,production,7616,5000,ClassCap,true,3414,0,3414,0.000000,14066,14066,0.000000,true
glyph16:U+0054,glyph,production,183,5000,ClassCap,true,468,3,465,0.006410,227,227,0.000000,true
glyph16:U+0055,glyph,production,2899,5000,ClassCap,true,2079,0,2079,0.000000,5170,5170,0.000000,true
glyph16:U+0056,glyph,production,1573,5000,ClassCap,true,1319,0,1319,0.000000,2647,2647,0.000000,true
glyph16:U+0057,glyph,production,7232,5000,ClassCap,true,3271,0,3271,0.000000,13499,13499,0.000000,true
glyph16:U+0058,glyph,production,343,5000,ClassCap,true,628,1,627,0.001592,652,652,0.000000,true
glyph16:U+0059,glyph,production,263,5000,ClassCap,true,412,1,411,0.002427,437,437,0.000000,true
glyph16:U+005A,glyph,production,255,5000,ClassCap,true,459,0,459,0.000000,393,393,0.000000,true
glyph16:U+005B,glyph,production,183,5000,Quiesced,false,175,0,175,0.000000,234,234,0.000000,false
glyph16:U+005C,glyph,production,127,5000,Timeout,false,447,37,410,0.082774,166,147,-0.114458,false
glyph16:U+005D,glyph,production,183,5000,Quiesced,false,177,0,177,0.000000,244,244,0.000000,false
glyph16:U+005E,glyph,production,199,5000,ClassCap,true,420,0,420,0.000000,319,319,0.000000,true
glyph16:U+005F,glyph,production,119,5000,Timeout,false,321,0,321,0.000000,129,129,0.000000,false
glyph16:U+0060,glyph,production,1722,5000,ClassCap,true,1342,0,1342,0.000000,2827,2827,0.000000,true
glyph16:U+0061,glyph,production,5743,5000,ClassCap,true,3007,0,3007,0.000000,10612,10612,0.000000,true
glyph16:U+0062,glyph,production,5129,5000,ClassCap,true,2824,0,2824,0.000000,9434,9434,0.000000,true
