name,category,node_count,stop,classes_raw,live_classes,reachable_nodes,orphaned_nodes,cost,extracted_nodes
glyph32:U+0073,glyph,6929,ClassCap,5000,3204,5000,0,12690,2864
glyph32:U+0074,glyph,2421,ClassCap,4906,1790,4906,0,4099,991
glyph32:U+0075,glyph,2493,ClassCap,4895,1804,4895,0,4153,999
glyph32:U+0076,glyph,1115,ClassCap,4245,1187,4245,0,1853,443
glyph32:U+0077,glyph,3663,ClassCap,4942,2510,4942,0,6708,1512
glyph32:U+0078,glyph,343,ClassCap,3579,616,3579,0,639,169
glyph32:U+0079,glyph,3530,ClassCap,4918,2441,4918,0,6393,1451
glyph32:U+007A,glyph,255,ClassCap,3357,458,3357,0,393,121
glyph32:U+007B,glyph,4598,ClassCap,4983,2691,4983,0,8207,1866
glyph32:U+007C,glyph,119,Quiesced,998,104,998,0,130,46
glyph32:U+007D,glyph,4598,ClassCap,4983,2687,4983,0,8212,1859
glyph32:U+007E,glyph,5093,ClassCap,4995,2810,4995,0,9377,2097
psychedelic,psychedelic,102,ClassCap,4845,940,4845,0,766,76
shader:cosine_palette,shader,40,ClassCap,1767,474,1767,0,296,26
shader:domain_warp_fbm,shader,84,ClassCap,4591,1248,4591,0,444,59
shader:gyroid_slice,shader,44,Quiesced,779,104,779,0,938,35
shader:julia_set,shader,122,ClassCap,4533,819,4533,0,716,122
shader:kaleidoscope_fold,shader,46,Quiesced,131,57,131,0,554,40
shader:mandelbrot_distance,shader,152,ClassCap,3675,415,3675,0,576,109
shader:metaballs,shader,62,ClassCap,2584,286,2584,0,158,48
shader:plasma,shader,41,ClassCap,1822,336,1822,0,363,31
shader:smooth_min_scene,shader,43,ClassCap,1215,159,1215,0,136,38
shader:smoothstep_vignette,shader,64,Quiesced,283,82,283,0,161,45
shader:star_sdf,shader,66,ClassCap,3828,632,3828,0,169,57
shader:torus_slice,shader,42,ClassCap,1283,165,1283,0,141,37
