rule_set,num_rules,fingerprint,expr_name,origin,tier,node_count,app_target,app_actual,sweeps_actual,evals_actual,apps_per_sweep,cost,ended,ended_at_apps
base,62,e99af8402beaff5d,train_b00_f04_00057,train,blitz,4,25,2,2,585,1,144,quiesced,2
base,62,e99af8402beaff5d,train_b00_f04_00057,train,blitz,4,50,2,2,585,1,144,quiesced,2
base,62,e99af8402beaff5d,train_b00_f04_00057,train,blitz,4,100,2,2,585,1,144,quiesced,2
base,62,e99af8402beaff5d,train_b00_f04_00057,train,blitz,4,200,2,2,585,1,144,quiesced,2
base,62,e99af8402beaff5d,train_b00_f04_00057,train,blitz,4,400,2,2,585,1,144,quiesced,2
base,62,e99af8402beaff5d,train_b00_f04_00057,train,blitz,4,800,2,2,585,1,144,quiesced,2
base,62,e99af8402beaff5d,train_b00_f04_00057,train,blitz,4,1600,2,2,585,1,144,quiesced,2
base,62,e99af8402beaff5d,train_b00_f04_00057,train,blitz,4,3200,2,2,585,1,144,quiesced,2
base,62,e99af8402beaff5d,train_b00_f04_00057,train,blitz,4,6400,2,2,585,1,144,quiesced,2
base,62,e99af8402beaff5d,train_b00_f04_00057,train,blitz,4,12800,2,2,585,1,144,quiesced,2
base,62,e99af8402beaff5d,train_b00_f04_00057,train,blitz,4,25600,2,2,585,1,144,quiesced,2
base,62,e99af8402beaff5d,train_b00_f04_00057,train,blitz,4,51200,2,2,585,1,144,quiesced,2
base,62,e99af8402beaff5d,train_b00_f04_00057,train,blitz,4,102400,2,2,585,1,144,quiesced,2
base,62,e99af8402beaff5d,train_b00_f04_00057,train,blitz,4,204800,2,2,585,1,144,quiesced,2
base,62,e99af8402beaff5d,train_b17_f05_01417,train,blitz,5,25,3,2,734,1,10,quiesced,3
base,62,e99af8402beaff5d,train_b17_f05_01417,train,blitz,5,50,3,2,734,1,10,quiesced,3
base,62,e99af8402beaff5d,train_b17_f05_01417,train,blitz,5,100,3,2,734,1,10,quiesced,3
base,62,e99af8402beaff5d,train_b17_f05_01417,train,blitz,5,200,3,2,734,1,10,quiesced,3
base,62,e99af8402beaff5d,train_b17_f05_01417,train,blitz,5,400,3,2,734,1,10,quiesced,3
base,62,e99af8402beaff5d,train_b17_f05_01417,train,blitz,5,800,3,2,734,1,10,quiesced,3
base,62,e99af8402beaff5d,train_b17_f05_01417,train,blitz,5,1600,3,2,734,1,10,quiesced,3
base,62,e99af8402beaff5d,train_b17_f05_01417,train,blitz,5,3200,3,2,734,1,10,quiesced,3
base,62,e99af8402beaff5d,train_b17_f05_01417,train,blitz,5,6400,3,2,734,1,10,quiesced,3
base,62,e99af8402beaff5d,train_b17_f05_01417,train,blitz,5,12800,3,2,734,1,10,quiesced,3
base,62,e99af8402beaff5d,train_b17_f05_01417,train,blitz,5,25600,3,2,734,1,10,quiesced,3
base,62,e99af8402beaff5d,train_b17_f05_01417,train,blitz,5,51200,3,2,734,1,10,quiesced,3
base,62,e99af8402beaff5d,train_b17_f05_01417,train,blitz,5,102400,3,2,734,1,10,quiesced,3
base,62,e99af8402beaff5d,train_b17_f05_01417,train,blitz,5,204800,3,2,734,1,10,quiesced,3
base,62,e99af8402beaff5d,train_b05_f03_00493,train,blitz,6,25,8,2,833,3,162,quiesced,8
base,62,e99af8402beaff5d,train_b05_f03_00493,train,blitz,6,50,8,2,833,3,162,quiesced,8
base,62,e99af8402beaff5d,train_b05_f03_00493,train,blitz,6,100,8,2,833,3,162,quiesced,8
base,62,e99af8402beaff5d,train_b05_f03_00493,train,blitz,6,200,8,2,833,3,162,quiesced,8
base,62,e99af8402beaff5d,train_b05_f03_00493,train,blitz,6,400,8,2,833,3,162,quiesced,8
base,62,e99af8402beaff5d,train_b05_f03_00493,train,blitz,6,800,8,2,833,3,162,quiesced,8
base,62,e99af8402beaff5d,train_b05_f03_00493,train,blitz,6,1600,8,2,833,3,162,quiesced,8
