expr_name,origin,tier,node_count,app_target,app_actual,cost,ended,ended_at_apps
dev_b27_f03_00606,dev,rapid,48,200,202,253,quiesced,255
dev_b27_f03_00606,dev,rapid,48,400,255,253,quiesced,255
dev_b27_f03_00606,dev,rapid,48,800,255,253,quiesced,255
dev_b27_f03_00606,dev,rapid,48,1600,255,253,quiesced,255
dev_b27_f03_00606,dev,rapid,48,3200,255,253,quiesced,255
dev_b27_f03_00606,dev,rapid,48,6400,255,253,quiesced,255
dev_b27_f03_00606,dev,rapid,48,12800,255,253,quiesced,255
dev_b27_f03_00606,dev,rapid,48,25600,255,253,quiesced,255
dev_b27_f03_00606,dev,rapid,48,51200,255,253,quiesced,255
dev_b27_f03_00606,dev,rapid,48,102400,255,253,quiesced,255
dev_b27_f03_00606,dev,rapid,48,204800,255,253,quiesced,255
train_b15_f04_01295,train,rapid,48,25,25,948,quiesced,523
train_b15_f04_01295,train,rapid,48,50,55,944,quiesced,523
train_b15_f04_01295,train,rapid,48,100,105,944,quiesced,523
train_b15_f04_01295,train,rapid,48,200,209,940,quiesced,523
train_b15_f04_01295,train,rapid,48,400,404,940,quiesced,523
train_b15_f04_01295,train,rapid,48,800,523,940,quiesced,523
train_b15_f04_01295,train,rapid,48,1600,523,940,quiesced,523
train_b15_f04_01295,train,rapid,48,3200,523,940,quiesced,523
train_b15_f04_01295,train,rapid,48,6400,523,940,quiesced,523
train_b15_f04_01295,train,rapid,48,12800,523,940,quiesced,523
train_b15_f04_01295,train,rapid,48,25600,523,940,quiesced,523
train_b15_f04_01295,train,rapid,48,51200,523,940,quiesced,523
train_b15_f04_01295,train,rapid,48,102400,523,940,quiesced,523
train_b15_f04_01295,train,rapid,48,204800,523,940,quiesced,523
dev_b09_f02_00261,dev,rapid,49,25,25,669,quiesced,252
dev_b09_f02_00261,dev,rapid,49,50,53,665,quiesced,252
dev_b09_f02_00261,dev,rapid,49,100,100,665,quiesced,252
dev_b09_f02_00261,dev,rapid,49,200,200,482,quiesced,252
dev_b09_f02_00261,dev,rapid,49,400,252,482,quiesced,252
dev_b09_f02_00261,dev,rapid,49,800,252,482,quiesced,252
dev_b09_f02_00261,dev,rapid,49,1600,252,482,quiesced,252
dev_b09_f02_00261,dev,rapid,49,3200,252,482,quiesced,252
dev_b09_f02_00261,dev,rapid,49,6400,252,482,quiesced,252
dev_b09_f02_00261,dev,rapid,49,12800,252,482,quiesced,252
dev_b09_f02_00261,dev,rapid,49,25600,252,482,quiesced,252
dev_b09_f02_00261,dev,rapid,49,51200,252,482,quiesced,252
dev_b09_f02_00261,dev,rapid,49,102400,252,482,quiesced,252
dev_b09_f02_00261,dev,rapid,49,204800,252,482,quiesced,252
train_b13_f04_01072,train,rapid,49,25,27,996,quiesced,7640
