rule_set,num_rules,fingerprint,expr_name,origin,tier,node_count,app_target,app_actual,sweeps_actual,evals_actual,apps_per_sweep,cost,ended,ended_at_apps
dup:124:interleave:1,124,6333431113f09bde,dev_b01_f05_00072,dev,blitz,7,6400,23,2,2280,9,21,quiesced,23
dup:124:interleave:1,124,6333431113f09bde,dev_b01_f05_00072,dev,blitz,7,12800,23,2,2280,9,21,quiesced,23
dup:124:interleave:1,124,6333431113f09bde,dev_b01_f05_00072,dev,blitz,7,25600,23,2,2280,9,21,quiesced,23
dup:124:interleave:1,124,6333431113f09bde,dev_b01_f05_00072,dev,blitz,7,51200,23,2,2280,9,21,quiesced,23
dup:124:interleave:1,124,6333431113f09bde,dev_b01_f05_00072,dev,blitz,7,102400,23,2,2280,9,21,quiesced,23
dup:124:interleave:1,124,6333431113f09bde,dev_b01_f05_00072,dev,blitz,7,204800,23,2,2280,9,21,quiesced,23
dup:124:interleave:1,124,6333431113f09bde,train_b03_f00_00225,train,blitz,7,25,19,2,1826,9,18,quiesced,19
dup:124:interleave:1,124,6333431113f09bde,train_b03_f00_00225,train,blitz,7,50,19,2,1826,9,18,quiesced,19
dup:124:interleave:1,124,6333431113f09bde,train_b03_f00_00225,train,blitz,7,100,19,2,1826,9,18,quiesced,19
dup:124:interleave:1,124,6333431113f09bde,train_b03_f00_00225,train,blitz,7,200,19,2,1826,9,18,quiesced,19
dup:124:interleave:1,124,6333431113f09bde,train_b03_f00_00225,train,blitz,7,400,19,2,1826,9,18,quiesced,19
dup:124:interleave:1,124,6333431113f09bde,train_b03_f00_00225,train,blitz,7,800,19,2,1826,9,18,quiesced,19
dup:124:interleave:1,124,6333431113f09bde,train_b03_f00_00225,train,blitz,7,1600,19,2,1826,9,18,quiesced,19
dup:124:interleave:1,124,6333431113f09bde,train_b03_f00_00225,train,blitz,7,3200,19,2,1826,9,18,quiesced,19
dup:124:interleave:1,124,6333431113f09bde,train_b03_f00_00225,train,blitz,7,6400,19,2,1826,9,18,quiesced,19
dup:124:interleave:1,124,6333431113f09bde,train_b03_f00_00225,train,blitz,7,12800,19,2,1826,9,18,quiesced,19
dup:124:interleave:1,124,6333431113f09bde,train_b03_f00_00225,train,blitz,7,25600,19,2,1826,9,18,quiesced,19
dup:124:interleave:1,124,6333431113f09bde,train_b03_f00_00225,train,blitz,7,51200,19,2,1826,9,18,quiesced,19
dup:124:interleave:1,124,6333431113f09bde,train_b03_f00_00225,train,blitz,7,102400,19,2,1826,9,18,quiesced,19
dup:124:interleave:1,124,6333431113f09bde,train_b03_f00_00225,train,blitz,7,204800,19,2,1826,9,18,quiesced,19
dup:124:interleave:1,124,6333431113f09bde,train_b20_f05_01751,train,blitz,7,25,26,2,2293,8,12,quiesced,80
dup:124:interleave:1,124,6333431113f09bde,train_b20_f05_01751,train,blitz,7,50,52,3,4145,8,12,quiesced,80
dup:124:interleave:1,124,6333431113f09bde,train_b20_f05_01751,train,blitz,7,100,80,4,6129,8,12,quiesced,80
