tier,budget,band,n_expr,zero_spread_all_share,zero_spread_guided_share,qualifies,spread_q1,spread_median,spread_q3,unguided_eligible,unguided_differs_share,stop_hist
train,100,51-100,551,0.4338,0.6679,false,0.0000,0.0029,0.0073,551,0.5662,"ApplicationBudget:4283|Quiesced:2329"
train,100,all,3356,0.5587,0.6377,false,0.0000,0.0000,0.0430,3356,0.4413,"ApplicationBudget:18783|Quiesced:21489"
train,200,101-250,540,0.2148,0.3611,true,0.0013,0.0199,0.5396,540,0.7852,"ApplicationBudget:5037|Quiesced:1443"
train,200,251-1000,529,0.0000,0.0000,true,0.3648,0.5178,5.3668,529,1.0000,"ApplicationBudget:6348"
train,200,51-100,551,0.7223,0.9111,false,0.0000,0.0000,0.0025,551,0.2777,"ApplicationBudget:1673|Quiesced:4939"
train,200,all,3356,0.6421,0.7202,false,0.0000,0.0000,0.0681,3356,0.3579,"ApplicationBudget:13850|Quiesced:26422"
train,400,101-250,540,0.3370,0.7407,false,0.0000,0.0036,0.5091,540,0.6630,"ApplicationBudget:2848|Quiesced:3632"
train,400,251-1000,529,0.0000,0.1909,true,0.3663,0.4980,4.6283,529,1.0000,"ApplicationBudget:5863|Quiesced:485"
train,400,51-100,551,0.7840,0.9419,false,0.0000,0.0000,0.0000,551,0.2160,"ApplicationBudget:807|Quiesced:5805"
train,400,all,3356,0.6728,0.8173,false,0.0000,0.0000,0.0134,3356,0.3272,"ApplicationBudget:9876|Quiesced:30396"
train,800,101-250,540,0.4370,0.8407,false,0.0000,0.0012,0.0547,540,0.5630,"ApplicationBudget:1552|Quiesced:4928"
train,800,251-1000,529,0.0926,0.5406,false,0.0054,0.1334,0.5457,529,0.9074,"ApplicationBudget:3884|Quiesced:2464"
train,800,51-100,551,0.7786,0.9510,false,0.0000,0.0000,0.0000,551,0.2214,"ApplicationBudget:405|Quiesced:6207"
train,800,all,3356,0.7011,0.8892,false,0.0000,0.0000,0.0021,3356,0.2989,"ApplicationBudget:6081|Quiesced:34191"
train,1600,101-250,540,0.4963,0.8481,false,0.0000,0.0000,0.0031,540,0.5037,"ApplicationBudget:902|Quiesced:5578"
train,1600,251-1000,529,0.1985,0.6749,false,0.0003,0.0017,0.0875,529,0.8015,"ApplicationBudget:2299|Quiesced:4049"
train,1600,51-100,551,0.7713,0.9492,false,0.0000,0.0000,0.0000,551,0.2287,"ApplicationBudget:245|Quiesced:6367"
train,1600,all,3356,0.7262,0.9115,false,0.0000,0.0000,0.0006,3356,0.2738,"ApplicationBudget:3642|Quiesced:36630"
train,3200,101-250,540,0.5074,0.8444,false,0.0000,0.0000,0.0025,540,0.4926,"ApplicationBudget:634|Quiesced:5846"
train,3200,251-1000,529,0.2212,0.6786,false,0.0000,0.0010,0.0590,529,0.7788,"ApplicationBudget:1594|Quiesced:4754"
train,3200,51-100,551,0.7768,0.9492,false,0.0000,0.0000,0.0000,551,0.2232,"ApplicationBudget:182|Quiesced:6430"
train,3200,all,3356,0.7315,0.9106,false,0.0000,0.0000,0.0004,3356,0.2685,"ApplicationBudget:2548|Quiesced:37724"
