rule_set,num_rules,fingerprint,expr_name,origin,tier,node_count,app_target,app_actual,cost,ended,ended_at_apps
base,62,e99af8402beaff5d,train_b03_f00_00225,train,blitz,7,12800,10,18,quiesced,10
base,62,e99af8402beaff5d,train_b03_f00_00225,train,blitz,7,25600,10,18,quiesced,10
base,62,e99af8402beaff5d,train_b03_f00_00225,train,blitz,7,51200,10,18,quiesced,10
base,62,e99af8402beaff5d,train_b03_f00_00225,train,blitz,7,102400,10,18,quiesced,10
base,62,e99af8402beaff5d,train_b03_f00_00225,train,blitz,7,204800,10,18,quiesced,10
base,62,e99af8402beaff5d,train_b20_f05_01751,train,blitz,7,25,27,12,quiesced,41
base,62,e99af8402beaff5d,train_b20_f05_01751,train,blitz,7,50,41,12,quiesced,41
base,62,e99af8402beaff5d,train_b20_f05_01751,train,blitz,7,100,41,12,quiesced,41
base,62,e99af8402beaff5d,train_b20_f05_01751,train,blitz,7,200,41,12,quiesced,41
base,62,e99af8402beaff5d,train_b20_f05_01751,train,blitz,7,400,41,12,quiesced,41
base,62,e99af8402beaff5d,train_b20_f05_01751,train,blitz,7,800,41,12,quiesced,41
base,62,e99af8402beaff5d,train_b20_f05_01751,train,blitz,7,1600,41,12,quiesced,41
base,62,e99af8402beaff5d,train_b20_f05_01751,train,blitz,7,3200,41,12,quiesced,41
base,62,e99af8402beaff5d,train_b20_f05_01751,train,blitz,7,6400,41,12,quiesced,41
base,62,e99af8402beaff5d,train_b20_f05_01751,train,blitz,7,12800,41,12,quiesced,41
base,62,e99af8402beaff5d,train_b20_f05_01751,train,blitz,7,25600,41,12,quiesced,41
base,62,e99af8402beaff5d,train_b20_f05_01751,train,blitz,7,51200,41,12,quiesced,41
base,62,e99af8402beaff5d,train_b20_f05_01751,train,blitz,7,102400,41,12,quiesced,41
base,62,e99af8402beaff5d,train_b20_f05_01751,train,blitz,7,204800,41,12,quiesced,41
base,62,e99af8402beaff5d,dev_b01_f05_00081,dev,blitz,8,25,25,10,quiesced,46
base,62,e99af8402beaff5d,dev_b01_f05_00081,dev,blitz,8,50,46,10,quiesced,46
base,62,e99af8402beaff5d,dev_b01_f05_00081,dev,blitz,8,100,46,10,quiesced,46
base,62,e99af8402beaff5d,dev_b01_f05_00081,dev,blitz,8,200,46,10,quiesced,46
base,62,e99af8402beaff5d,dev_b01_f05_00081,dev,blitz,8,400,46,10,quiesced,46
base,62,e99af8402beaff5d,dev_b01_f05_00081,dev,blitz,8,800,46,10,quiesced,46
base,62,e99af8402beaff5d,dev_b01_f05_00081,dev,blitz,8,1600,46,10,quiesced,46
base,62,e99af8402beaff5d,dev_b01_f05_00081,dev,blitz,8,3200,46,10,quiesced,46
base,62,e99af8402beaff5d,dev_b01_f05_00081,dev,blitz,8,6400,46,10,quiesced,46
base,62,e99af8402beaff5d,dev_b01_f05_00081,dev,blitz,8,12800,46,10,quiesced,46
base,62,e99af8402beaff5d,dev_b01_f05_00081,dev,blitz,8,25600,46,10,quiesced,46
base,62,e99af8402beaff5d,dev_b01_f05_00081,dev,blitz,8,51200,46,10,quiesced,46
base,62,e99af8402beaff5d,dev_b01_f05_00081,dev,blitz,8,102400,46,10,quiesced,46
base,62,e99af8402beaff5d,dev_b01_f05_00081,dev,blitz,8,204800,46,10,quiesced,46
base,62,e99af8402beaff5d,train_b00_f03_00053,train,blitz,8,25,27,99,quiesced,75
base,62,e99af8402beaff5d,train_b00_f03_00053,train,blitz,8,50,50,99,quiesced,75
base,62,e99af8402beaff5d,train_b00_f03_00053,train,blitz,8,100,75,99,quiesced,75
base,62,e99af8402beaff5d,train_b00_f03_00053,train,blitz,8,200,75,99,quiesced,75
base,62,e99af8402beaff5d,train_b00_f03_00053,train,blitz,8,400,75,99,quiesced,75
base,62,e99af8402beaff5d,train_b00_f03_00053,train,blitz,8,800,75,99,quiesced,75
base,62,e99af8402beaff5d,train_b00_f03_00053,train,blitz,8,1600,75,99,quiesced,75
base,62,e99af8402beaff5d,train_b00_f03_00053,train,blitz,8,3200,75,99,quiesced,75
base,62,e99af8402beaff5d,train_b00_f03_00053,train,blitz,8,6400,75,99,quiesced,75
base,62,e99af8402beaff5d,train_b00_f03_00053,train,blitz,8,12800,75,99,quiesced,75
base,62,e99af8402beaff5d,train_b00_f03_00053,train,blitz,8,25600,75,99,quiesced,75
base,62,e99af8402beaff5d,train_b00_f03_00053,train,blitz,8,51200,75,99,quiesced,75
base,62,e99af8402beaff5d,train_b00_f03_00053,train,blitz,8,102400,75,99,quiesced,75
base,62,e99af8402beaff5d,train_b00_f03_00053,train,blitz,8,204800,75,99,quiesced,75
base,62,e99af8402beaff5d,train_b05_f01_00469,train,blitz,8,25,13,6,quiesced,13
base,62,e99af8402beaff5d,train_b05_f01_00469,train,blitz,8,50,13,6,quiesced,13
base,62,e99af8402beaff5d,train_b05_f01_00469,train,blitz,8,100,13,6,quiesced,13
base,62,e99af8402beaff5d,train_b05_f01_00469,train,blitz,8,200,13,6,quiesced,13
base,62,e99af8402beaff5d,train_b05_f01_00469,train,blitz,8,400,13,6,quiesced,13
base,62,e99af8402beaff5d,train_b05_f01_00469,train,blitz,8,800,13,6,quiesced,13
base,62,e99af8402beaff5d,train_b05_f01_00469,train,blitz,8,1600,13,6,quiesced,13
base,62,e99af8402beaff5d,train_b05_f01_00469,train,blitz,8,3200,13,6,quiesced,13
base,62,e99af8402beaff5d,train_b05_f01_00469,train,blitz,8,6400,13,6,quiesced,13
base,62,e99af8402beaff5d,train_b05_f01_00469,train,blitz,8,12800,13,6,quiesced,13
base,62,e99af8402beaff5d,train_b05_f01_00469,train,blitz,8,25600,13,6,quiesced,13
base,62,e99af8402beaff5d,train_b05_f01_00469,train,blitz,8,51200,13,6,quiesced,13
base,62,e99af8402beaff5d,train_b05_f01_00469,train,blitz,8,102400,13,6,quiesced,13
base,62,e99af8402beaff5d,train_b05_f01_00469,train,blitz,8,204800,13,6,quiesced,13
base,62,e99af8402beaff5d,train_b31_f04_02754,train,blitz,8,25,11,78,quiesced,11
base,62,e99af8402beaff5d,train_b31_f04_02754,train,blitz,8,50,11,78,quiesced,11
base,62,e99af8402beaff5d,train_b31_f04_02754,train,blitz,8,100,11,78,quiesced,11
base,62,e99af8402beaff5d,train_b31_f04_02754,train,blitz,8,200,11,78,quiesced,11
base,62,e99af8402beaff5d,train_b31_f04_02754,train,blitz,8,400,11,78,quiesced,11
base,62,e99af8402beaff5d,train_b31_f04_02754,train,blitz,8,800,11,78,quiesced,11
base,62,e99af8402beaff5d,train_b31_f04_02754,train,blitz,8,1600,11,78,quiesced,11
base,62,e99af8402beaff5d,train_b31_f04_02754,train,blitz,8,3200,11,78,quiesced,11
base,62,e99af8402beaff5d,train_b31_f04_02754,train,blitz,8,6400,11,78,quiesced,11
base,62,e99af8402beaff5d,train_b31_f04_02754,train,blitz,8,12800,11,78,quiesced,11
base,62,e99af8402beaff5d,train_b31_f04_02754,train,blitz,8,25600,11,78,quiesced,11
base,62,e99af8402beaff5d,train_b31_f04_02754,train,blitz,8,51200,11,78,quiesced,11
base,62,e99af8402beaff5d,train_b31_f04_02754,train,blitz,8,102400,11,78,quiesced,11
base,62,e99af8402beaff5d,train_b31_f04_02754,train,blitz,8,204800,11,78,quiesced,11
base,62,e99af8402beaff5d,dev_b01_f03_00043,dev,blitz,9,25,13,22,quiesced,13
base,62,e99af8402beaff5d,dev_b01_f03_00043,dev,blitz,9,50,13,22,quiesced,13
base,62,e99af8402beaff5d,dev_b01_f03_00043,dev,blitz,9,100,13,22,quiesced,13
base,62,e99af8402beaff5d,dev_b01_f03_00043,dev,blitz,9,200,13,22,quiesced,13
base,62,e99af8402beaff5d,dev_b01_f03_00043,dev,blitz,9,400,13,22,quiesced,13
base,62,e99af8402beaff5d,dev_b01_f03_00043,dev,blitz,9,800,13,22,quiesced,13
base,62,e99af8402beaff5d,dev_b01_f03_00043,dev,blitz,9,1600,13,22,quiesced,13
base,62,e99af8402beaff5d,dev_b01_f03_00043,dev,blitz,9,3200,13,22,quiesced,13
base,62,e99af8402beaff5d,dev_b01_f03_00043,dev,blitz,9,6400,13,22,quiesced,13
base,62,e99af8402beaff5d,dev_b01_f03_00043,dev,blitz,9,12800,13,22,quiesced,13
base,62,e99af8402beaff5d,dev_b01_f03_00043,dev,blitz,9,25600,13,22,quiesced,13
base,62,e99af8402beaff5d,dev_b01_f03_00043,dev,blitz,9,51200,13,22,quiesced,13
base,62,e99af8402beaff5d,dev_b01_f03_00043,dev,blitz,9,102400,13,22,quiesced,13
base,62,e99af8402beaff5d,dev_b01_f03_00043,dev,blitz,9,204800,13,22,quiesced,13
base,62,e99af8402beaff5d,dev_b33_f05_00747,dev,blitz,9,25,13,141,quiesced,13
base,62,e99af8402beaff5d,dev_b33_f05_00747,dev,blitz,9,50,13,141,quiesced,13
