era,set,n,B,arm,metric,median_ratio,q1_ratio,q3_ratio,improved,unchanged,worse,median_ratio_4B_vs_unguided_B,improved_4B,worse_4B,median_apps_at_stop,stop_reasons,median_classes_at_stop,median_app_actual_arm_at_B,median_app_actual_unguided_at_B
A-L3-midscan-unguided-cap,sh_bil,100,100,linear,tree_dp,0.9047,0.8821,0.921,100,0,0,0.8928,100,0,800.0,"{""app_budget"": 100}",525.5,100.0,100.0
A-L3-midscan-unguided-cap,sh_bil,100,100,linear,dag,1.1053,1.0426,1.2314,3,0,97,1.1126,10,90,800.0,"{""app_budget"": 100}",525.5,100.0,100.0
A-L3-midscan-unguided-cap,sh_bil,100,200,control,tree_dp,0.9,0.8731,0.9209,100,0,0,0.8899,100,0,800.0,"{""app_budget"": 100}",504.5,200.0,200.0
A-L3-midscan-unguided-cap,sh_bil,100,200,control,dag,1.1197,1.0422,1.2085,2,1,97,1.1199,1,98,800.0,"{""app_budget"": 100}",504.5,200.0,200.0
A-L3-midscan-unguided-cap,sh_bil,100,200,linear,tree_dp,0.9007,0.8753,0.9216,100,0,0,0.8928,100,0,800.0,"{""app_budget"": 100}",525.5,200.0,200.0
A-L3-midscan-unguided-cap,sh_bil,100,200,linear,dag,1.1197,1.0425,1.2387,3,1,96,1.1264,3,96,800.0,"{""app_budget"": 100}",525.5,200.0,200.0
A-L3-midscan-unguided-cap,sh_bil,100,100,unguided,-,1.0,1.0,1.0,0,100,0,0.9989,0,0,800.0,"{""app_budget"": 100}",454.5,100.0,100.0
A-L3-midscan-unguided-cap,sh_bil,100,200,unguided,-,1.0,1.0,1.0,0,100,0,1.0,0,0,800.0,"{""app_budget"": 100}",454.5,200.0,200.0
A-L3-midscan-unguided-cap,sh_r1b,95,100,control,tree_dp,0.9031,0.8916,0.9233,95,0,0,0.8919,95,0,800,"{""app_budget"": 95}",450,100,100
A-L3-midscan-unguided-cap,sh_r1b,95,100,control,dag,1.0994,1.0652,1.2774,5,0,90,1.1336,0,95,800,"{""app_budget"": 95}",450,100,100
A-L3-midscan-unguided-cap,sh_r1b,95,100,linear,tree_dp,0.9039,0.8916,0.9184,95,0,0,0.8919,95,0,800,"{""app_budget"": 95}",491,100,100
A-L3-midscan-unguided-cap,sh_r1b,95,100,linear,dag,1.1138,1.0678,1.2774,0,0,95,1.1336,1,94,800,"{""app_budget"": 95}",491,100,100
A-L3-midscan-unguided-cap,sh_r1b,95,200,control,tree_dp,0.8943,0.8782,0.9159,95,0,0,0.8867,95,0,800,"{""app_budget"": 95}",450,200,200
A-L3-midscan-unguided-cap,sh_r1b,95,200,control,dag,1.1334,1.0672,1.2857,0,1,94,1.1271,1,93,800,"{""app_budget"": 95}",450,200,200
A-L3-midscan-unguided-cap,sh_r1b,95,200,linear,tree_dp,0.8971,0.883,0.9173,95,0,0,0.8911,95,0,800,"{""app_budget"": 95}",491,200,200
A-L3-midscan-unguided-cap,sh_r1b,95,200,linear,dag,1.1355,1.0706,1.2731,0,1,94,1.1323,2,93,800,"{""app_budget"": 95}",491,200,200
A-L3-midscan-unguided-cap,sh_r1b,95,100,unguided,-,1.0,1.0,1.0,0,95,0,0.9989,0,0,800,"{""app_budget"": 95}",422,100,100
A-L3-midscan-unguided-cap,sh_r1b,95,200,unguided,-,1.0,1.0,1.0,0,95,0,1.0,0,0,800,"{""app_budget"": 95}",422,200,200
A-L4-rebuild-writeback-fix,bezier_bil,80,100,control,tree_dp,0.9098,0.9098,0.9803,80,0,0,0.9098,80,0,800.0,"{""app_budget"": 80}",493.0,100.0,110.0
A-L4-rebuild-writeback-fix,bezier_bil,80,100,control,dag,0.8,0.7978,0.9366,80,0,0,0.7988,80,0,800.0,"{""app_budget"": 80}",493.0,100.0,110.0
A-L4-rebuild-writeback-fix,bezier_bil,80,100,linear,tree_dp,0.9098,0.9098,0.9803,80,0,0,0.8568,80,0,800.0,"{""app_budget"": 80}",478.0,100.0,110.0
A-L4-rebuild-writeback-fix,bezier_bil,80,100,linear,dag,0.8,0.7978,0.9366,80,0,0,0.7988,80,0,800.0,"{""app_budget"": 80}",478.0,100.0,110.0
A-L4-rebuild-writeback-fix,bezier_bil,80,200,control,tree_dp,0.9098,0.9098,0.9912,60,20,0,0.9098,60,0,800.0,"{""app_budget"": 80}",493.0,200.0,210.0
A-L4-rebuild-writeback-fix,bezier_bil,80,200,control,dag,0.814,0.7978,1.0,45,35,0,0.7978,60,0,800.0,"{""app_budget"": 80}",493.0,200.0,210.0
A-L4-rebuild-writeback-fix,bezier_bil,80,200,linear,tree_dp,0.8855,0.8568,0.9753,60,20,0,0.8568,60,0,800.0,"{""app_budget"": 80}",478.0,200.0,210.0
A-L4-rebuild-writeback-fix,bezier_bil,80,200,linear,dag,0.7846,0.7416,0.9535,60,20,0,0.7835,60,0,800.0,"{""app_budget"": 80}",478.0,200.0,210.0
A-L4-rebuild-writeback-fix,bezier_bil,80,100,unguided,-,1.0,1.0,1.0,0,80,0,0.9438,0,0,807.0,"{""app_budget"": 80}",561.0,110.0,110.0
A-L4-rebuild-writeback-fix,bezier_bil,80,200,unguided,-,1.0,1.0,1.0,0,80,0,0.9438,0,0,807.0,"{""app_budget"": 80}",561.0,210.0,210.0
A-L4-rebuild-writeback-fix,bezier_r1b,80,100,control,tree_dp,0.9098,0.9098,0.9803,80,0,0,0.9098,80,0,800.0,"{""app_budget"": 80}",493.0,100.0,110.0
A-L4-rebuild-writeback-fix,bezier_r1b,80,100,control,dag,0.8,0.7978,0.9366,80,0,0,0.7988,80,0,800.0,"{""app_budget"": 80}",493.0,100.0,110.0
A-L4-rebuild-writeback-fix,bezier_r1b,80,100,linear,tree_dp,0.9098,0.9098,0.9803,80,0,0,0.8568,80,0,800.0,"{""app_budget"": 80}",478.0,100.0,110.0
A-L4-rebuild-writeback-fix,bezier_r1b,80,100,linear,dag,0.8,0.7978,0.9366,80,0,0,0.7988,80,0,800.0,"{""app_budget"": 80}",478.0,100.0,110.0
A-L4-rebuild-writeback-fix,bezier_r1b,80,200,control,tree_dp,0.9098,0.9098,0.9912,60,20,0,0.9098,60,0,800.0,"{""app_budget"": 80}",493.0,200.0,210.0
A-L4-rebuild-writeback-fix,bezier_r1b,80,200,control,dag,0.814,0.7978,1.0,45,35,0,0.7978,60,0,800.0,"{""app_budget"": 80}",493.0,200.0,210.0
A-L4-rebuild-writeback-fix,bezier_r1b,80,200,linear,tree_dp,0.8855,0.8568,0.9753,60,20,0,0.8568,60,0,800.0,"{""app_budget"": 80}",478.0,200.0,210.0
A-L4-rebuild-writeback-fix,bezier_r1b,80,200,linear,dag,0.7846,0.7416,0.9535,60,20,0,0.7835,60,0,800.0,"{""app_budget"": 80}",478.0,200.0,210.0
A-L4-rebuild-writeback-fix,bezier_r1b,80,100,unguided,-,1.0,1.0,1.0,0,80,0,0.9438,0,0,807.0,"{""app_budget"": 80}",561.0,110.0,110.0
A-L4-rebuild-writeback-fix,bezier_r1b,80,200,unguided,-,1.0,1.0,1.0,0,80,0,0.9438,0,0,807.0,"{""app_budget"": 80}",561.0,210.0,210.0
A-L4-rebuild-writeback-fix,dev,334,100,control,tree_dp,0.5747,0.2811,0.7204,316,6,12,0.5687,301,19,800.0,"{""app_budget"": 169, ""quiesced"": 165}",292.0,100.0,111.0
A-L4-rebuild-writeback-fix,dev,334,100,control,dag,0.6614,0.5708,0.7368,330,4,0,0.6483,330,0,800.0,"{""app_budget"": 169, ""quiesced"": 165}",292.0,100.0,111.0
A-L4-rebuild-writeback-fix,dev,334,100,linear,tree_dp,0.5312,0.0,0.6721,329,4,1,0.5486,307,15,800.0,"{""app_budget"": 168, ""quiesced"": 166}",297.0,100.0,111.0
A-L4-rebuild-writeback-fix,dev,334,100,linear,dag,0.6496,0.5625,0.7248,330,4,0,0.6468,330,0,800.0,"{""app_budget"": 168, ""quiesced"": 166}",297.0,100.0,111.0
A-L4-rebuild-writeback-fix,dev,334,200,control,tree_dp,0.7281,0.55,1.0,233,86,15,0.7118,232,16,800.0,"{""app_budget"": 169, ""quiesced"": 165}",292.0,200.0,208.0
A-L4-rebuild-writeback-fix,dev,334,200,control,dag,0.7445,0.6537,1.0,246,78,10,0.7304,247,12,800.0,"{""app_budget"": 169, ""quiesced"": 165}",292.0,200.0,208.0
A-L4-rebuild-writeback-fix,dev,334,200,linear,tree_dp,0.6958,0.5121,1.0,242,81,11,0.7083,237,10,800.0,"{""app_budget"": 168, ""quiesced"": 166}",297.0,200.0,208.0
A-L4-rebuild-writeback-fix,dev,334,200,linear,dag,0.7267,0.6401,1.0,246,76,12,0.7281,247,12,800.0,"{""app_budget"": 168, ""quiesced"": 166}",297.0,200.0,208.0
A-L4-rebuild-writeback-fix,dev,334,100,unguided,-,1.0,1.0,1.0,0,334,0,0.7195,0,0,808.0,"{""app_budget"": 221, ""quiesced"": 113}",289.5,111.0,111.0
A-L4-rebuild-writeback-fix,dev,334,200,unguided,-,1.0,1.0,1.0,0,334,0,0.8284,0,0,808.0,"{""app_budget"": 221, ""quiesced"": 113}",289.5,208.0,208.0
A-L4-rebuild-writeback-fix,sh_bil,100,100,control,tree_dp,0.9095,0.8935,0.932,100,0,0,0.8928,100,0,800.0,"{""app_budget"": 100}",504.5,100.0,123.5
A-L4-rebuild-writeback-fix,sh_bil,100,100,control,dag,1.0968,1.0274,1.2194,7,0,93,1.1195,3,97,800.0,"{""app_budget"": 100}",504.5,100.0,123.5
A-L4-rebuild-writeback-fix,sh_bil,100,100,linear,tree_dp,0.9047,0.8821,0.921,100,0,0,0.8928,100,0,800.0,"{""app_budget"": 100}",524.5,100.0,123.5
A-L4-rebuild-writeback-fix,sh_bil,100,100,linear,dag,1.1053,1.0426,1.2314,3,0,97,1.1126,10,90,800.0,"{""app_budget"": 100}",524.5,100.0,123.5
A-L4-rebuild-writeback-fix,sh_bil,100,200,control,tree_dp,0.8974,0.8731,0.9182,100,0,0,0.8886,100,0,800.0,"{""app_budget"": 100}",504.5,200.0,214.0
A-L4-rebuild-writeback-fix,sh_bil,100,200,control,dag,1.1197,1.041,1.2085,2,0,98,1.1199,1,99,800.0,"{""app_budget"": 100}",504.5,200.0,214.0
A-L4-rebuild-writeback-fix,sh_bil,100,200,linear,tree_dp,0.8996,0.8753,0.9186,100,0,0,0.8918,100,0,800.0,"{""app_budget"": 100}",524.5,200.0,214.0
A-L4-rebuild-writeback-fix,sh_bil,100,200,linear,dag,1.1197,1.0413,1.2387,3,0,97,1.1264,4,96,800.0,"{""app_budget"": 100}",524.5,200.0,214.0
A-L4-rebuild-writeback-fix,sh_bil,100,100,unguided,-,1.0,1.0,1.0,0,100,0,0.9989,0,0,832.0,"{""app_budget"": 100}",538.0,123.5,123.5
A-L4-rebuild-writeback-fix,sh_bil,100,200,unguided,-,1.0,1.0,1.0,0,100,0,0.9996,0,0,832.0,"{""app_budget"": 100}",538.0,214.0,214.0
A-L4-rebuild-writeback-fix,sh_r1b,95,100,control,tree_dp,0.9031,0.8916,0.9233,95,0,0,0.8919,95,0,800,"{""app_budget"": 95}",450,100,124
A-L4-rebuild-writeback-fix,sh_r1b,95,100,control,dag,1.0994,1.0652,1.2774,5,0,90,1.1336,0,95,800,"{""app_budget"": 95}",450,100,124
A-L4-rebuild-writeback-fix,sh_r1b,95,100,linear,tree_dp,0.9039,0.8916,0.9184,95,0,0,0.8919,95,0,800,"{""app_budget"": 95}",491,100,124
A-L4-rebuild-writeback-fix,sh_r1b,95,100,linear,dag,1.1138,1.0678,1.2774,0,0,95,1.1336,1,94,800,"{""app_budget"": 95}",491,100,124
A-L4-rebuild-writeback-fix,sh_r1b,95,200,control,tree_dp,0.894,0.8782,0.9145,95,0,0,0.8843,95,0,800,"{""app_budget"": 95}",450,200,216
A-L4-rebuild-writeback-fix,sh_r1b,95,200,control,dag,1.1334,1.0658,1.2857,0,0,95,1.1258,1,94,800,"{""app_budget"": 95}",450,200,216
A-L4-rebuild-writeback-fix,sh_r1b,95,200,linear,tree_dp,0.8959,0.883,0.9159,95,0,0,0.8909,95,0,800,"{""app_budget"": 95}",491,200,216
A-L4-rebuild-writeback-fix,sh_r1b,95,200,linear,dag,1.1355,1.07,1.2731,0,0,95,1.1318,2,93,800,"{""app_budget"": 95}",491,200,216
A-L4-rebuild-writeback-fix,sh_r1b,95,100,unguided,-,1.0,1.0,1.0,0,95,0,0.9988,0,0,847,"{""app_budget"": 95}",516,124,124
A-L4-rebuild-writeback-fix,sh_r1b,95,200,unguided,-,1.0,1.0,1.0,0,95,0,0.9979,0,0,847,"{""app_budget"": 95}",516,216,216
A-retired-head-b26506bd,bezier_bil,80,100,control,tree_dp,0.9098,0.9098,0.9803,80,0,0,0.9098,80,0,800.0,"{""app_budget"": 80}",493.0,100.0,110.0
A-retired-head-b26506bd,bezier_bil,80,100,control,dag,0.8,0.7978,0.9366,80,0,0,0.7988,80,0,800.0,"{""app_budget"": 80}",493.0,100.0,110.0
A-retired-head-b26506bd,bezier_bil,80,100,linear,tree_dp,0.9098,0.9098,0.9803,80,0,0,0.8568,80,0,800.0,"{""app_budget"": 80}",478.0,100.0,110.0
A-retired-head-b26506bd,bezier_bil,80,100,linear,dag,0.8,0.7978,0.9366,80,0,0,0.7988,80,0,800.0,"{""app_budget"": 80}",478.0,100.0,110.0
A-retired-head-b26506bd,bezier_bil,80,200,control,tree_dp,0.9098,0.9098,0.9912,60,20,0,0.9098,60,0,800.0,"{""app_budget"": 80}",493.0,200.0,210.0
A-retired-head-b26506bd,bezier_bil,80,200,control,dag,0.814,0.7978,1.0,45,35,0,0.7978,60,0,800.0,"{""app_budget"": 80}",493.0,200.0,210.0
A-retired-head-b26506bd,bezier_bil,80,200,linear,tree_dp,0.8855,0.8568,0.9753,60,20,0,0.8568,60,0,800.0,"{""app_budget"": 80}",478.0,200.0,210.0
A-retired-head-b26506bd,bezier_bil,80,200,linear,dag,0.7846,0.7416,0.9535,60,20,0,0.7835,60,0,800.0,"{""app_budget"": 80}",478.0,200.0,210.0
A-retired-head-b26506bd,bezier_bil,80,100,unguided,-,1.0,1.0,1.0,0,80,0,0.9438,0,0,807.0,"{""app_budget"": 80}",561.0,110.0,110.0
A-retired-head-b26506bd,bezier_bil,80,200,unguided,-,1.0,1.0,1.0,0,80,0,0.9438,0,0,807.0,"{""app_budget"": 80}",561.0,210.0,210.0
A-retired-head-b26506bd,bezier_r1b,80,100,control,tree_dp,0.9098,0.9098,0.9803,80,0,0,0.9098,80,0,800.0,"{""app_budget"": 80}",493.0,100.0,110.0
A-retired-head-b26506bd,bezier_r1b,80,100,control,dag,0.8,0.7978,0.9366,80,0,0,0.7988,80,0,800.0,"{""app_budget"": 80}",493.0,100.0,110.0
A-retired-head-b26506bd,bezier_r1b,80,100,linear,tree_dp,0.9098,0.9098,0.9803,80,0,0,0.8568,80,0,800.0,"{""app_budget"": 80}",478.0,100.0,110.0
A-retired-head-b26506bd,bezier_r1b,80,100,linear,dag,0.8,0.7978,0.9366,80,0,0,0.7988,80,0,800.0,"{""app_budget"": 80}",478.0,100.0,110.0
A-retired-head-b26506bd,bezier_r1b,80,200,control,tree_dp,0.9098,0.9098,0.9912,60,20,0,0.9098,60,0,800.0,"{""app_budget"": 80}",493.0,200.0,210.0
A-retired-head-b26506bd,bezier_r1b,80,200,control,dag,0.814,0.7978,1.0,45,35,0,0.7978,60,0,800.0,"{""app_budget"": 80}",493.0,200.0,210.0
A-retired-head-b26506bd,bezier_r1b,80,200,linear,tree_dp,0.8855,0.8568,0.9753,60,20,0,0.8568,60,0,800.0,"{""app_budget"": 80}",478.0,200.0,210.0
A-retired-head-b26506bd,bezier_r1b,80,200,linear,dag,0.7846,0.7416,0.9535,60,20,0,0.7835,60,0,800.0,"{""app_budget"": 80}",478.0,200.0,210.0
A-retired-head-b26506bd,bezier_r1b,80,100,unguided,-,1.0,1.0,1.0,0,80,0,0.9438,0,0,807.0,"{""app_budget"": 80}",561.0,110.0,110.0
A-retired-head-b26506bd,bezier_r1b,80,200,unguided,-,1.0,1.0,1.0,0,80,0,0.9438,0,0,807.0,"{""app_budget"": 80}",561.0,210.0,210.0
A-retired-head-b26506bd,dev,334,100,control,tree_dp,0.5747,0.2811,0.7204,316,6,12,0.5687,301,19,800.0,"{""app_budget"": 169, ""quiesced"": 165}",292.0,100.0,111.0
A-retired-head-b26506bd,dev,334,100,control,dag,0.6614,0.5708,0.7378,330,4,0,0.6483,330,0,800.0,"{""app_budget"": 169, ""quiesced"": 165}",292.0,100.0,111.0
A-retired-head-b26506bd,dev,334,100,linear,tree_dp,0.5312,0.0,0.6721,329,4,1,0.5486,308,14,800.0,"{""app_budget"": 168, ""quiesced"": 166}",297.0,100.0,111.0
A-retired-head-b26506bd,dev,334,100,linear,dag,0.6496,0.5625,0.7254,330,4,0,0.6468,330,0,800.0,"{""app_budget"": 168, ""quiesced"": 166}",297.0,100.0,111.0
A-retired-head-b26506bd,dev,334,200,control,tree_dp,0.7281,0.55,1.0,233,86,15,0.7118,232,16,800.0,"{""app_budget"": 169, ""quiesced"": 165}",292.0,200.0,208.0
A-retired-head-b26506bd,dev,334,200,control,dag,0.7445,0.6537,1.0,246,78,10,0.7304,247,12,800.0,"{""app_budget"": 169, ""quiesced"": 165}",292.0,200.0,208.0
A-retired-head-b26506bd,dev,334,200,linear,tree_dp,0.6918,0.5121,1.0,243,81,10,0.7068,238,9,800.0,"{""app_budget"": 168, ""quiesced"": 166}",297.0,200.0,208.0
A-retired-head-b26506bd,dev,334,200,linear,dag,0.7267,0.6401,1.0,246,76,12,0.7281,247,12,800.0,"{""app_budget"": 168, ""quiesced"": 166}",297.0,200.0,208.0
A-retired-head-b26506bd,dev,334,100,unguided,-,1.0,1.0,1.0,0,334,0,0.7195,0,0,808.0,"{""app_budget"": 221, ""quiesced"": 113}",289.5,111.0,111.0
A-retired-head-b26506bd,dev,334,200,unguided,-,1.0,1.0,1.0,0,334,0,0.8284,0,0,808.0,"{""app_budget"": 221, ""quiesced"": 113}",289.5,208.0,208.0
