name,category,budget,node_count,classes,reachable_classes,free_classes,branch_product_log10,stop,greedy_dag,greedy_tree,greedy_reported,treeopt_dag,treeopt_tree,exact_status,exact_dag,exact_lower_bound,exact_expansions,exact_ms,ratio,loss_dp,loss_sharing,cycle_priced_used_by_exact,cycle_priced_total,reported_matches_returned,reported_delta,dominated_candidates,dp_loss_frac,objective_miss_frac
glyph16:U+0039,glyph,production,8267,5000,3774,222,66.829,ClassCap,15698,255187,255187,15698,255187,UNSOLVED,15698,312,10280960,4000.8,NaN,0,0,0,0,true,0,1000,0.000000,0.000000
glyph16:U+003A,glyph,production,3655,4854,2312,535,273.781,ClassCap,6228,43501,18446744073709551615,6072,43061,UNSOLVED,6072,173,5769216,4000.7,NaN,156,0,11,11,false,-43502,1163,0.025048,0.010115
glyph16:U+003B,glyph,production,3494,4855,2307,530,275.033,ClassCap,6080,42403,18446744073709551615,5896,41911,UNSOLVED,5896,173,9033728,4000.7,NaN,184,0,12,12,false,-42404,1143,0.030263,0.011603
glyph16:U+003C,glyph,production,295,2695,415,174,103.157,ClassCap,514,790,13835058055282164275,514,790,UNSOLVED,514,81,9338880,4000.1,NaN,0,0,31,31,false,-4611686018427388131,824,0.000000,0.000000
glyph16:U+003D,glyph,production,183,1512,170,73,44.156,Quiesced,231,405,405,231,405,UNSOLVED,231,57,9005056,4000.2,NaN,0,0,0,0,true,0,535,0.000000,0.000000
glyph16:U+003E,glyph,production,295,2709,416,174,103.157,ClassCap,519,795,18446744073709551615,519,795,UNSOLVED,519,81,10233856,4000.8,NaN,0,0,48,48,false,-796,828,0.000000,0.000000
glyph16:U+003F,glyph,production,6716,5000,3176,302,101.903,ClassCap,12176,128907,18446744073709551615,12176,128907,UNSOLVED,12176,284,8230912,4000.7,NaN,0,0,9,9,false,-128908,1441,0.000000,0.000000
glyph16:U+0040,glyph,production,12056,5226,5226,0,0.000,ClassCap,23527,409366,409366,23527,409366,OPTIMAL,23527,23527,5218,5.4,1.000000,0,0,0,0,true,0,0,0.000000,0.000000
glyph16:U+0041,glyph,production,1605,4509,1340,337,186.573,ClassCap,2672,10844,10844,2672,10844,UNSOLVED,2672,152,5873664,4000.5,NaN,0,0,8,8,true,0,1673,0.000000,0.000000
glyph16:U+0042,glyph,production,4470,4975,2650,577,231.534,ClassCap,7970,57563,18446744073709551615,7957,48774,UNSOLVED,7957,189,7184384,4001.1,NaN,13,0,14,14,false,-57564,1328,0.001631,0.152685
glyph16:U+0043,glyph,production,5129,4996,2830,529,191.401,ClassCap,9459,66750,18446744073709551615,9423,63950,UNSOLVED,9423,196,10395648,4000.5,NaN,36,0,12,12,false,-66751,1408,0.003806,0.041948
glyph16:U+0044,glyph,production,2606,4367,1933,563,291.951,ClassCap,4506,31079,18446744073709551615,4497,28180,UNSOLVED,4497,169,7362560,4000.8,NaN,9,0,13,13,false,-31080,931,0.001997,0.093278
glyph16:U+0045,glyph,production,247,2779,368,197,104.586,ClassCap,335,553,4611686018427388403,335,553,UNSOLVED,329,56,10002432,4000.4,NaN,0,0,5,18,false,4611686018427387850,919,0.000000,0.000000
glyph16:U+0046,glyph,production,215,2534,329,178,93.965,ClassCap,285,471,4611686018427388321,285,471,UNSOLVED,279,56,11880448,4000.2,NaN,0,0,5,20,false,4611686018427387850,818,0.000000,0.000000
glyph16:U+0047,glyph,production,4563,4983,2695,573,223.899,ClassCap,8262,54984,18446744073709551615,8222,54732,UNSOLVED,8222,190,9162752,4000.4,NaN,40,0,12,12,false,-54985,1350,0.004841,0.004583
glyph16:U+0048,glyph,production,247,2792,367,199,105.631,ClassCap,314,562,13835058055282164111,314,562,UNSOLVED,307,60,9230336,4000.6,NaN,0,0,17,52,false,-4611686018427388067,917,0.000000,0.000000
glyph16:U+0049,glyph,production,391,3418,563,221,125.651,ClassCap,626,1041,18446744073709551615,626,1041,UNSOLVED,626,81,10536960,4000.2,NaN,0,0,73,73,false,-1042,1107,0.000000,0.000000
glyph16:U+004A,glyph,production,2425,4282,1868,608,302.260,ClassCap,4339,28910,18446744073709551615,4191,28522,UNSOLVED,4191,166,6742016,4001.2,NaN,148,0,12,12,false,-28911,890,0.034109,0.013421
glyph16:U+004B,glyph,production,617,4578,921,377,195.133,ClassCap,1047,2835,18446744073709551615,1047,2835,UNSOLVED,1047,143,15001600,3497.0,NaN,0,0,69,69,false,-2836,1743,0.000000,0.000000
